Table No.,ICSD No.,Space Group,Struct.formula,,元素1,元素1数,族1,周期1,,元素2,元素2数,族2,周期2,晶系,,
2,51778,P -1,Bi4 O7,Bi4,Bi,4,15,6,O7,O,7,16,2,Triclinic,,
2,58909,P -1,Ca8 In3,Ca8,Ca,8,2,4,In3,In,3,13,5,Triclinic,,
2,196,P -1,V6 O11,V6,V,6,5,4,O11,O,11,16,2,Triclinic,,
2,2775,P -1,V4 O7,V4,V,4,5,4,O7,O,7,16,2,Triclinic,,
2,6097,P -1,V5 O9,V5,V,5,5,4,O9,O,9,16,2,Triclinic,,
2,9039,P -1,Ti6 O11,Ti6,Ti,6,4,4,O11,O,11,16,2,Triclinic,,
2,102983,P -1,Cu7 In3,Cu7,Cu,7,11,4,In3,In,3,13,5,Triclinic,,
2,104202,P -1,Tl3 Yb8,Tl3,Tl,3,13,6,Yb8,Yb,8,3,6,Triclinic,,
2,104302,P -1,Hg K,Hg,Hg,1,12,6,K,K,1,1,4,Triclinic,,
2,97356,P -1,Yb3 Ge8,Yb3,Yb,3,3,6,Ge8,Ge,8,14,4,Triclinic,,
2,240179,P -1,Rh3 Ga5,Rh3,Rh,3,9,5,Ga5,Ga,5,13,4,Triclinic,,
2,62473,I -1,Hf I4,Hf,Hf,1,4,6,I4,I,4,17,5,Triclinic,,
2,99229,P -1,Zr Au,Zr,Zr,1,4,5,Au,Au,1,11,6,Triclinic,,
2,106623,P -1,Eu Ga,Eu,Eu,1,3,6,Ga,Ga,1,13,4,Triclinic,,
2,413800,P -1,Rh18 B11,Rh18,Rh,18,9,5,B11,B,11,13,2,Triclinic,,
2,170627,C -1,Zn13 Sb10,Zn13,Zn,13,12,4,Sb10,Sb,10,15,5,Triclinic,,
2,610410,P -1,Eu As3,Eu,Eu,1,3,6,As3,As,3,15,4,Triclinic,,
2,611440,P -1,Sr As3,Sr,Sr,1,2,5,As3,As,3,15,4,Triclinic,,
2,647710,P -1,Os P4,Os,Os,1,8,6,P4,P,4,15,3,Triclinic,,
2,650162,P -1,Re Te2,Re,Re,1,7,6,Te2,Te,2,16,5,Triclinic,,
2,418213,P -1,Zn84 Sb65,Zn84,Zn,84,12,4,Sb65,Sb,65,15,5,Triclinic,,
2,173775,P -1,C90 Cl32,C90,C,90,14,2,Cl32,Cl,32,17,3,Triclinic,,
2,421138,P -1,Eu8 In3,Eu8,Eu,8,3,6,In3,In,3,13,5,Triclinic,,
2,425284,P -1,Mn6 Ga29,Mn6,Mn,6,7,4,Ga29,Ga,29,13,4,Triclinic,,
2,150629,P -1,Ti Ni,Ti,Ti,1,4,4,Ni,Ni,1,10,4,Triclinic,,
2,150654,C -1,Mo0.1 U0.9,Mo0.1,Mo,0.1,6,5,U0.9,U,0.9,3,7,Triclinic,,
2,151184,P -1,C3 F6,C3,C,3,14,2,F6,F,6,17,2,Triclinic,,
2,154799,P -1,Ni6.742 In3,Ni6.742,Ni,6.742,10,4,In3,In,3,13,5,Triclinic,,
2,165240,P -1,Ca8 Al3,Ca8,Ca,8,2,4,Al3,Al,3,13,3,Triclinic,,
2,166447,P -1,D2 O,D2,D,2,1,1,O,O,1,16,2,Triclinic,,
2,181367,P -1,Fe5 C2,Fe5,Fe,5,8,4,C2,C,2,14,2,Triclinic,,
2,182906,P -1,C76 Cl26.24,C76,C,76,14,2,Cl26.24,Cl,26.24,17,3,Triclinic,,
2,424637,P -1,Mn Ga4.83,Mn,Mn,1,7,4,Ga4.83,Ga,4.83,13,4,Triclinic,,
2,185807,P -1,Cu29 S16,Cu29,Cu,29,11,4,S16,S,16,16,3,Triclinic,,
2,185819,P -1,As2 S3,As2,As,2,15,4,S3,S,3,16,3,Triclinic,,
2,424885,P -1,V8 O15,V8,V,8,5,4,O15,O,15,16,2,Triclinic,,
2,424886,P -1,V9 O17,V9,V,9,5,4,O17,O,17,16,2,Triclinic,,
