Table No.,ICSD No.,Space Group,Struct.formula,,元素1,元素1数,族1,周期1,,元素2,元素2数,族2,周期2,晶系,,
61,251732,P b c a,C94 Cl20,C94,C,94,14,2,Cl20,Cl,20,17,3,Orthorhombic,,
61,291504,P b c a,Mn S2,Mn,Mn,1,7,4,S2,S,2,16,3,Orthorhombic,,
61,196072,P b c a,Zn0.92 Sb,Zn0.92,Zn,0.92,12,4,Sb,Sb,1,15,5,Orthorhombic,,
61,426846,P b c a,In2 O3,In2,In,2,13,5,O3,O,3,16,2,Orthorhombic,,
61,170528,P b c a,Si O2,Si,Si,1,14,3,O2,O,2,16,2,Orthorhombic,,t
61,157452,P b c a,Sn O2,Sn,Sn,1,14,5,O2,O,2,16,2,Orthorhombic,,t
61,181494,P b c a,Ir C4,Ir,Ir,1,9,6,C4,C,4,14,2,Orthorhombic,,t
61,249918,P b c a,Tc F4,Tc,Tc,1,7,5,F4,F,4,17,2,Orthorhombic,,t
61,670379,P b c a,Mg2 C3,Mg2,Mg,2,2,3,C3,C,3,14,2,Orthorhombic,,t
61,670658,P b c a,Si3 N4,Si3,Si,3,14,3,N4,N,4,15,2,Orthorhombic,,t
62,77,P n m a,Bi3 Y5,Bi3,Bi,3,15,6,Y5,Y,5,3,5,Orthorhombic,,
62,79,P n m a,Te I4,Te,Te,1,16,5,I4,I,4,17,5,Orthorhombic,,
62,106,P n a m,Te2 Br,Te2,Te,2,16,5,Br,Br,1,17,4,Orthorhombic,,
62,107,P n a m,Te2 I,Te2,Te,2,16,5,I,I,1,17,5,Orthorhombic,,
62,153,P n m a,Mo F6,Mo,Mo,1,6,5,F6,F,6,17,2,Orthorhombic,,
62,322,P n m a,U F6,U,U,1,3,7,F6,F,6,17,2,Orthorhombic,,
62,396,P n m a,Cu8 Hf3,Cu8,Cu,8,11,4,Hf3,Hf,3,4,6,Orthorhombic,,
62,419,P n m a,Dy2 Se3,Dy2,Dy,2,3,6,Se3,Se,3,16,4,Orthorhombic,,
62,422,P n m a,Sr2 Si,Sr2,Sr,2,2,5,Si,Si,1,14,3,Orthorhombic,,
62,457,P b n m,Pt3 Ge2,Pt3,Pt,3,10,6,Ge2,Ge,2,14,4,Orthorhombic,,
62,977,P n m a,Pu5 Rh4,Pu5,Pu,5,3,7,Rh4,Rh,4,9,5,Orthorhombic,,
62,990,P n m a,Ru Sb,Ru,Ru,1,8,5,Sb,Sb,1,15,5,Orthorhombic,,
62,991,P n m a,Rh Sb,Rh,Rh,1,9,5,Sb,Sb,1,15,5,Orthorhombic,,
62,1030,P n m a,Cs2 S,Cs2,Cs,2,1,6,S,S,1,16,3,Orthorhombic,,
62,1090,P n m a,Ca D2,Ca,Ca,1,2,4,D2,D,2,1,1,Orthorhombic,,
62,1269,P n m a,Bi F3,Bi,Bi,1,15,6,F3,F,3,17,2,Orthorhombic,,
62,1345,P n m a,Sb3 Ti5,Sb3,Sb,3,15,5,Ti5,Ti,5,4,4,Orthorhombic,,
62,1435,P n m a,La S2,La,La,1,3,6,S2,S,2,16,3,Orthorhombic,,
62,1621,P n a m,Ge S,Ge,Ge,1,14,4,S,S,1,16,3,Orthorhombic,,
62,1918,P n m a,Pu Pd,Pu,Pu,1,3,7,Pd,Pd,1,10,5,Orthorhombic,,
62,2065,P n m a,Ca5 Sb3,Ca5,Ca,5,2,4,Sb3,Sb,3,15,5,Orthorhombic,,
62,2140,P n m a,Ca5 Bi3,Ca5,Ca,5,2,4,Bi3,Bi,3,15,6,Orthorhombic,,
62,2256,P n m a,Pu2 Pt,Pu2,Pu,2,3,7,Pt,Pt,1,10,6,Orthorhombic,,
62,2407,P n m a,Sc3 Co,Sc3,Sc,3,3,4,Co,Co,1,9,4,Orthorhombic,,
62,2422,P n m a,Y5 Pt4,Y5,Y,5,3,5,Pt4,Pt,4,10,6,Orthorhombic,,
62,2623,P b n m,Pt Si,Pt,Pt,1,10,6,Si,Si,1,14,3,Orthorhombic,,
62,2624,P b n m,Pt Ge,Pt,Pt,1,10,6,Ge,Ge,1,14,4,Orthorhombic,,
62,2787,P n m a,U3 Se5,U3,U,3,3,7,Se5,Se,5,16,4,Orthorhombic,,
62,4034,P n m a,N Cl3,N,N,1,15,2,Cl3,Cl,3,17,3,Orthorhombic,,
62,8015,P n m a,Sm3 Ir,Sm3,Sm,3,3,6,Ir,Ir,1,9,6,Orthorhombic,,
62,8016,P n m a,Y3 Pt,Y3,Y,3,3,5,Pt,Pt,1,10,6,Orthorhombic,,
62,8052,P n m a,P Br3,P,P,1,15,3,Br3,Br,3,17,4,Orthorhombic,,
62,9496,P n m a,Mn As,Mn,Mn,1,7,4,As,As,1,15,4,Orthorhombic,,
62,9842,P n m a,Sm F3,Sm,Sm,1,3,6,F3,F,3,17,2,Orthorhombic,,
62,9843,P n m a,Ho F3,Ho,Ho,1,3,6,F3,F,3,17,2,Orthorhombic,,
62,9887,P m c n,V F5,V,V,1,5,4,F5,F,5,17,2,Orthorhombic,,
62,10365,P n m a,Tl F3,Tl,Tl,1,13,6,F3,F,3,17,2,Orthorhombic,,
62,10436,P n m a,As2 O4,As2,As,2,15,4,O4,O,4,16,2,Orthorhombic,,
62,10511,P n m a,Pt Tb,Pt,Pt,1,10,6,Tb,Tb,1,3,6,Orthorhombic,,
62,14324,P n m a,Pb F2,Pb,Pb,1,14,6,F2,F,2,17,2,Orthorhombic,,
62,14380,P n a m,Eu3 O4,Eu3,Eu,3,3,6,O4,O,4,16,2,Orthorhombic,,
62,14385,P n m a,La Si,La,La,1,3,6,Si,Si,1,14,3,Orthorhombic,,
62,15016,P n m a,Pd Si,Pd,Pd,1,10,5,Si,Si,1,14,3,Orthorhombic,,
62,15041,P n m a,V4 O9,V4,V,4,5,4,O9,O,9,16,2,Orthorhombic,,
62,15126,P n m a,Ba Si2,Ba,Ba,1,2,6,Si2,Si,2,14,3,Orthorhombic,,
62,15151,P n m a,La2 S3,La2,La,2,3,6,S3,S,3,16,3,Orthorhombic,,
62,15509,P n m a,In3 In Cl6,In3,In,3,13,5,In,In,1,13,5,Orthorhombic,,
62,15678,P c m n,Nb0.92 S,Nb0.92,Nb,0.92,5,5,S,S,1,16,3,Orthorhombic,,
62,15693,P n m a,Ir Si,Ir,Ir,1,9,6,Si,Si,1,14,3,Orthorhombic,,
62,15705,P n m a,Ba Cl2,Ba,Ba,1,2,6,Cl2,Cl,2,17,3,Orthorhombic,,
62,15706,P n m a,Ba Br2,Ba,Ba,1,2,6,Br2,Br,2,17,4,Orthorhombic,,
62,15707,P n m a,Ba I2,Ba,Ba,1,2,6,I2,I,2,17,5,Orthorhombic,,
62,15726,P n m a,Yb3 S4,Yb3,Yb,3,3,6,S4,S,4,16,3,Orthorhombic,,
62,15815,P n m a,Mo4 O11,Mo4,Mo,4,6,5,O11,O,11,16,2,Orthorhombic,,
62,15972,P b n m,Sr Br2,Sr,Sr,1,2,5,Br2,Br,2,17,4,Orthorhombic,,
62,16417,P n m a,Nb5 As3,Nb5,Nb,5,5,5,As3,As,3,15,4,Orthorhombic,,
62,16611,P n a m,P2 O5,P2,P,2,15,3,O5,O,5,16,2,Orthorhombic,,
62,16631,P n m a,Yb D2,Yb,Yb,1,3,6,D2,D,2,1,1,Orthorhombic,,
62,16680,P b n m,Sb2 Se3,Sb2,Sb,2,15,5,Se3,Se,3,16,4,Orthorhombic,,
62,16711,P m n b,P4 S3,P4,P,4,15,3,S3,S,3,16,3,Orthorhombic,,
62,16728,P n a m,Ir Se2,Ir,Ir,1,9,6,Se2,Se,2,16,4,Orthorhombic,,
62,16822,P n m a,Mo Ge2,Mo,Mo,1,6,5,Ge2,Ge,2,14,4,Orthorhombic,,
62,16997,P c m n,Sn Se,Sn,Sn,1,14,5,Se,Se,1,16,4,Orthorhombic,,
62,17006,P c m n,Ge Se,Ge,Ge,1,14,4,Se,Se,1,16,4,Orthorhombic,,
62,19079,P n m a,Cl F3,Cl,Cl,1,17,3,F3,F,3,17,2,Orthorhombic,,
62,8258,P n m a,Sb Cl3,Sb,Sb,1,15,5,Cl3,Cl,3,17,3,Orthorhombic,,
62,15806,P n a m,Pb Cl2,Pb,Pb,1,14,6,Cl2,Cl,2,17,3,Orthorhombic,,
62,16011,P n m a,Cu7 S4,Cu7,Cu,7,11,4,S4,S,4,16,3,Orthorhombic,,
62,16593,P n m a,Fe3 C,Fe3,Fe,3,8,4,C,C,1,14,2,Orthorhombic,,
62,14124,P n m a,Hg O,Hg,Hg,1,12,6,O,O,1,16,2,Orthorhombic,,
62,16105,P n m a,As4 S3,As4,As,4,15,4,S3,S,3,16,3,Orthorhombic,,
62,15452,P n a m,Sn Cl2,Sn,Sn,1,14,5,Cl2,Cl,2,17,3,Orthorhombic,,
62,15086,P n m a,Cr3 C2,Cr3,Cr,3,6,4,C2,C,2,14,2,Orthorhombic,,
62,16411,P n m a,Sc3 As2,Sc3,Sc,3,3,4,As2,As,2,15,4,Orthorhombic,,
62,16473,P c m n,Tl2 Cl3,Tl2,Tl,2,13,6,Cl3,Cl,3,17,3,Orthorhombic,,
62,20292,P n a m,Zr As2,Zr,Zr,1,4,5,As2,As,2,15,4,Orthorhombic,,
62,22039,P b n m,Eu Cl2,Eu,Eu,1,3,6,Cl2,Cl,2,17,3,Orthorhombic,,
62,22130,P m n b,Cs Br3,Cs,Cs,1,1,6,Br3,Br,3,17,4,Orthorhombic,,
62,22223,P n a m,Gd2 S3,Gd2,Gd,2,3,6,S3,S,3,16,3,Orthorhombic,,
62,23082,P n m a,Pd3 P0.8,Pd3,Pd,3,10,5,P0.8,P,0.8,15,3,Orthorhombic,,
62,23277,P n m a,Hg Cl2,Hg,Hg,1,12,6,Cl2,Cl,2,17,3,Orthorhombic,,
62,23281,P n m a,Nb2 P5,Nb2,Nb,2,5,5,P5,P,5,15,3,Orthorhombic,,
62,23460,P n a m,Mg B4,Mg,Mg,1,2,3,B4,B,4,13,2,Orthorhombic,,
62,23466,P c m n,U3 S5,U3,U,3,3,7,S5,S,5,16,3,Orthorhombic,,
62,23564,P n m a,La5 Pb4,La5,La,5,3,6,Pb4,Pb,4,14,6,Orthorhombic,,
62,23585,P n m a,Tb Si,Tb,Tb,1,3,6,Si,Si,1,14,3,Orthorhombic,,
62,23589,P n m a,Cr As,Cr,Cr,1,6,4,As,As,1,15,4,Orthorhombic,,
62,23870,P n m a,Ca H2,Ca,Ca,1,2,4,H2,H,2,1,1,Orthorhombic,,
62,24306,P n m a,Ni3 B,Ni3,Ni,3,10,4,B,B,1,13,2,Orthorhombic,,
62,24307,P n m a,Ni4 B3,Ni4,Ni,4,10,4,B3,B,3,13,2,Orthorhombic,,
62,24351,P n m a,Ti P2,Ti,Ti,1,4,4,P2,P,2,15,3,Orthorhombic,,
62,24352,P n m a,Zr P2,Zr,Zr,1,4,5,P2,P,2,15,3,Orthorhombic,,
62,24354,P n m a,Rh3 Si4,Rh3,Rh,3,9,5,Si4,Si,4,14,3,Orthorhombic,,
62,24641,P b n m,Ni2 Si,Ni2,Ni,2,10,4,Si,Si,1,14,3,Orthorhombic,,
62,24699,P n m a,Rh2 B,Rh2,Rh,2,9,5,B,B,1,13,2,Orthorhombic,,
62,24701,P n m a,Ti B,Ti,Ti,1,4,4,B,B,1,13,2,Orthorhombic,,
62,25351,P n m a,Ba2 Ge,Ba2,Ba,2,2,6,Ge,Ge,1,14,4,Orthorhombic,,
62,25595,P b n m,Ca2 Si,Ca2,Ca,2,2,4,Si,Si,1,14,3,Orthorhombic,,
62,25726,P b n m,Co2 P,Co2,Co,2,9,4,P,P,1,15,3,Orthorhombic,,
62,26215,P n m a,Nb14 S5,Nb14,Nb,14,5,5,S5,S,5,16,3,Orthorhombic,,
62,26221,P n m a,Yb5 Sb3,Yb5,Yb,5,3,6,Sb3,Sb,3,15,5,Orthorhombic,,
62,26280,P c m n,Nb0.9 S,Nb0.9,Nb,0.9,5,5,S,S,1,16,3,Orthorhombic,,
62,26570,P b n m,Th Si,Th,Th,1,3,7,Si,Si,1,14,3,Orthorhombic,,
62,26671,P m n b,Th Se2,Th,Th,1,3,7,Se2,Se,2,16,4,Orthorhombic,,
62,27252,P m c n,Cs I3,Cs,Cs,1,1,6,I3,I,3,17,5,Orthorhombic,,
62,27405,P b n m,Sb Br3,Sb,Sb,1,15,5,Br3,Br,3,17,4,Orthorhombic,,
62,27798,P n m a,P Cl3,P,P,1,15,3,Cl3,Cl,3,17,3,Orthorhombic,,
62,20228,P n a m,Mn O2,Mn,Mn,1,7,4,O2,O,2,16,2,Orthorhombic,,
62,22176,P n m a,Sb2 S3,Sb2,Sb,2,15,5,S3,S,3,16,3,Orthorhombic,,
62,22303,P b n m,V O2,V,V,1,5,4,O2,O,2,16,2,Orthorhombic,,
62,24376,P n m a,Sn S,Sn,Sn,1,14,5,S,S,1,16,3,Orthorhombic,,
62,26025,P n m a,P Br7,P,P,1,15,3,Br7,Br,7,17,4,Orthorhombic,,
62,26483,P m n b,P4 Se3,P4,P,4,15,3,Se3,Se,3,16,4,Orthorhombic,,
62,29333,P n m a,U2 O5,U2,U,2,3,7,O5,O,5,16,2,Orthorhombic,,
62,30398,P n m a,Ru4 Si3,Ru4,Ru,4,8,5,Si3,Si,3,14,3,Orthorhombic,,
62,30412,P b n m,Mn P,Mn,Mn,1,7,4,P,P,1,15,3,Orthorhombic,,
62,30449,P b n m,Fe B,Fe,Fe,1,8,4,B,B,1,13,2,Orthorhombic,,
62,30450,P b n m,Co B,Co,Co,1,9,4,B,B,1,13,2,Orthorhombic,,
62,30626,P b n m,Ni Si,Ni,Ni,1,10,4,Si,Si,1,14,3,Orthorhombic,,
62,30730,P n m a,Yb D1.98,Yb,Yb,1,3,6,D1.98,D,1.98,1,1,Orthorhombic,,
62,31017,P n m a,Mn7 C3,Mn7,Mn,7,7,4,C3,C,3,14,2,Orthorhombic,,
62,31018,P n m a,Fe7 C3,Fe7,Fe,7,8,4,C3,C,3,14,2,Orthorhombic,,
62,31647,P b n m,U Si,U,U,1,3,7,Si,Si,1,14,3,Orthorhombic,,
62,31650,P b n m,Th2 S3,Th2,Th,2,3,7,S3,S,3,16,3,Orthorhombic,,
62,31651,P b n m,U2 S3,U2,U,2,3,7,S3,S,3,16,3,Orthorhombic,,
62,31652,P b n m,Np2 S3,Np2,Np,2,3,7,S3,S,3,16,3,Orthorhombic,,
62,31653,P m n b,Th S2,Th,Th,1,3,7,S2,S,2,16,3,Orthorhombic,,
62,33160,P n a m,Sr H2,Sr,Sr,1,2,5,H2,H,2,1,1,Orthorhombic,,
62,34036,P n a m,Fe As,Fe,Fe,1,8,4,As,As,1,15,4,Orthorhombic,,
62,35200,P n m a,Tc P3,Tc,Tc,1,7,5,P3,P,3,15,3,Orthorhombic,,
62,36117,P n m a,Hf3 P2,Hf3,Hf,3,4,6,P2,P,2,15,3,Orthorhombic,,
62,36170,P m n b,Pb Br2,Pb,Pb,1,14,6,Br2,Br,2,17,4,Orthorhombic,,
62,37273,P c m n,Cm Si,Cm,Cm,1,3,7,Si,Si,1,14,3,Orthorhombic,,
62,38270,P n m a,Ce S2,Ce,Ce,1,3,6,S2,S,2,16,3,Orthorhombic,,
62,38349,P n m a,Na2 S5,Na2,Na,2,1,3,S5,S,5,16,3,Orthorhombic,,
62,33712,P n m a,Nb5 P3,Nb5,Nb,5,5,5,P3,P,3,15,3,Orthorhombic,,
62,36501,P n m a,Cs2 Te,Cs2,Cs,2,1,6,Te,Te,1,16,5,Orthorhombic,,
62,30258,P b n m,Mo O3,Mo,Mo,1,6,5,O3,O,3,16,2,Orthorhombic,,
62,35008,P n m a,Fe S,Fe,Fe,1,8,4,S,S,1,16,3,Orthorhombic,,
62,30775,P b n m,Bi2 S3,Bi2,Bi,2,15,6,S3,S,3,16,3,Orthorhombic,,
62,48123,P n m a,Re2 P,Re2,Re,2,7,6,P,P,1,15,3,Orthorhombic,,
62,60205,P b n m,Bi2 Se3,Bi2,Bi,2,15,6,Se3,Se,3,16,4,Orthorhombic,,
62,48206,P b n m,Nd Cl2,Nd,Nd,1,3,6,Cl2,Cl,2,17,3,Orthorhombic,,
62,61348,P n m a,Rb I3,Rb,Rb,1,1,5,I3,I,3,17,5,Orthorhombic,,
62,61349,P n m a,Tl I3,Tl,Tl,1,13,6,I3,I,3,17,5,Orthorhombic,,
62,61424,P n m a,Eu H1.9,Eu,Eu,1,3,6,H1.9,H,1.9,1,1,Orthorhombic,,
62,62561,P n m a,Ba D2,Ba,Ba,1,2,6,D2,D,2,1,1,Orthorhombic,,
62,62562,P n m a,Ba H2,Ba,Ba,1,2,6,H2,H,2,1,1,Orthorhombic,,
62,62607,P n m a,Fe P,Fe,Fe,1,8,4,P,P,1,15,3,Orthorhombic,,
62,63649,P n m a,Gd2 Te3,Gd2,Gd,2,3,6,Te3,Te,3,16,5,Orthorhombic,,
62,48026,P n a m,Co As,Co,Co,1,9,4,As,As,1,15,4,Orthorhombic,,
62,40467,P n a m,Mn11 Ge8,Mn11,Mn,11,7,4,Ge8,Ge,8,14,4,Orthorhombic,,
62,41650,P n a m,Ba F2,Ba,Ba,1,2,6,F2,F,2,17,2,Orthorhombic,,
62,41677,P n m a,Sc5 As3,Sc5,Sc,5,3,4,As3,As,3,15,4,Orthorhombic,,
62,41678,P n m a,Sc3 P2,Sc3,Sc,3,3,4,P2,P,2,15,3,Orthorhombic,,
62,41691,P n m a,Li12 Si7,Li12,Li,12,1,2,Si7,Si,7,14,3,Orthorhombic,,
62,41114,P n m a,U Te5,U,U,1,3,7,Te5,Te,5,16,5,Orthorhombic,,
62,65652,P n m a,Mo4 P3,Mo4,Mo,4,6,5,P3,P,3,15,3,Orthorhombic,,
62,67298,P n m a,Nb Br5,Nb,Nb,1,5,5,Br5,Br,5,17,4,Orthorhombic,,
62,68509,P n m a,Gd Si,Gd,Gd,1,3,6,Si,Si,1,14,3,Orthorhombic,,
62,69077,P n m a,Sr D2,Sr,Sr,1,2,5,D2,D,2,1,1,Orthorhombic,,
62,67451,P n m a,Pd9 Si2,Pd9,Pd,9,10,5,Si2,Si,2,14,3,Orthorhombic,,
62,66531,P n m a,Dy2 S3,Dy2,Dy,2,3,6,S3,S,3,16,3,Orthorhombic,,
62,67609,P n m a,Te F6,Te,Te,1,16,5,F6,F,6,17,2,Orthorhombic,,
62,66652,P n m a,Gd5 Si4,Gd5,Gd,5,3,6,Si4,Si,4,14,3,Orthorhombic,,
62,68734,P n m a,Si12 O24,Si12,Si,12,14,3,O24,O,24,16,2,Orthorhombic,,
62,72290,P n m a,Nd2 S3,Nd2,Nd,2,3,6,S3,S,3,16,3,Orthorhombic,,
62,72291,P n m a,Ho2 S3,Ho2,Ho,2,3,6,S3,S,3,16,3,Orthorhombic,,
62,72821,P n m a,Sm2 S3,Sm2,Sm,2,3,6,S3,S,3,16,3,Orthorhombic,,
62,74774,P n m a,W O2,W,W,1,6,6,O2,O,2,16,2,Orthorhombic,,
62,75179,P b n m,Ti O2,Ti,Ti,1,4,4,O2,O,2,16,2,Orthorhombic,,
62,79234,P n m a,Rh Si,Rh,Rh,1,9,5,Si,Si,1,14,3,Orthorhombic,,
62,79914,P n a m,Zr O2,Zr,Zr,1,4,5,O2,O,2,16,2,Orthorhombic,,
62,78737,P n m a,Ti F4,Ti,Ti,1,4,4,F4,F,4,17,2,Orthorhombic,,
62,78944,P n a m,Zr3 N4,Zr3,Zr,3,4,5,N4,N,4,15,2,Orthorhombic,,
62,78780,P n m a,Sm2 Se3,Sm2,Sm,2,3,6,Se3,Se,3,16,4,Orthorhombic,,
62,80568,P n a m,Ir S2,Ir,Ir,1,9,6,S2,S,2,16,3,Orthorhombic,,
62,80594,P n m a,V2 O5,V2,V,2,5,4,O5,O,5,16,2,Orthorhombic,,
62,80767,P n m a,Tb2 S3,Tb2,Tb,2,3,6,S3,S,3,16,3,Orthorhombic,,
62,81411,P n m a,Er F3,Er,Er,1,3,6,F3,F,3,17,2,Orthorhombic,,
62,82295,P n m a,U Se2,U,U,1,3,7,Se2,Se,2,16,4,Orthorhombic,,
62,83383,P n m a,Pr2 S3,Pr2,Pr,2,3,6,S3,S,3,16,3,Orthorhombic,,
62,83643,P n m a,Si2 I6,Si2,Si,2,14,3,I6,I,6,17,5,Orthorhombic,,
62,83863,P n a m,Hf O2,Hf,Hf,1,4,6,O2,O,2,16,2,Orthorhombic,,
62,84085,P n m a,Gd5 Ge4,Gd5,Gd,5,3,6,Ge4,Ge,4,14,4,Orthorhombic,,
62,84516,P b n m,Cr0.93 Cl1.77,Cr0.93,Cr,0.93,6,4,Cl1.77,Cl,1.77,17,3,Orthorhombic,,
62,84621,P n m a,Mo Cl5,Mo,Mo,1,6,5,Cl5,Cl,5,17,3,Orthorhombic,,
62,84950,P n m a,Ba Ge2,Ba,Ba,1,2,6,Ge2,Ge,2,14,4,Orthorhombic,,
62,85208,P n m a,Ru3.71 Si3,Ru3.71,Ru,3.71,8,5,Si3,Si,3,14,3,Orthorhombic,,
62,85417,P n m a,Tb2 Se3,Tb2,Tb,2,3,6,Se3,Se,3,16,4,Orthorhombic,,
62,85525,P n m a,Pd3 P,Pd3,Pd,3,10,5,P,P,1,15,3,Orthorhombic,,
62,81855,P m n b,Os F6,Os,Os,1,8,6,F6,F,6,17,2,Orthorhombic,,
62,81856,P m n b,Pt F6,Pt,Pt,1,10,6,F6,F,6,17,2,Orthorhombic,,
62,85732,P n m a,U2 Te3,U2,U,2,3,7,Te3,Te,3,16,5,Orthorhombic,,
62,86209,P n a m,Ca Cl2,Ca,Ca,1,2,4,Cl2,Cl,2,17,3,Orthorhombic,,
62,86279,P n m a,Si96 O192,Si96,Si,96,14,3,O192,O,192,16,2,Orthorhombic,,
62,200788,P n m a,Ta5 P3,Ta5,Ta,5,5,6,P3,P,3,15,3,Orthorhombic,,
62,203137,P n m a,Sr I2,Sr,Sr,1,2,5,I2,I,2,17,5,Orthorhombic,,
62,201997,P b n m,Sm Cl2,Sm,Sm,1,3,6,Cl2,Cl,2,17,3,Orthorhombic,,
62,402457,P n m a,Tm2 S3,Tm2,Tm,2,3,6,S3,S,3,16,3,Orthorhombic,,
62,406579,P n m a,Sc2 Te,Sc2,Sc,2,3,4,Te,Te,1,16,5,Orthorhombic,,
62,409260,P n m a,Ba2 Ge4,Ba2,Ba,2,2,6,Ge4,Ge,4,14,4,Orthorhombic,,
62,40825,P n a m,Yb3 Se4,Yb3,Yb,3,3,6,Se4,Se,4,16,4,Orthorhombic,,
62,41707,P n m a,Sm5 Ge4,Sm5,Sm,5,3,6,Ge4,Ge,4,14,4,Orthorhombic,,
62,41755,P n m a,Ba2 Si,Ba2,Ba,2,2,6,Si,Si,1,14,3,Orthorhombic,,
62,41815,P n m a,Ti5 Sb3,Ti5,Ti,5,4,4,Sb3,Sb,3,15,5,Orthorhombic,,
62,41959,P b n m,Ca Te,Ca,Ca,1,2,4,Te,Te,1,16,5,Orthorhombic,,
62,42079,P n m a,Cr P,Cr,Cr,1,6,4,P,P,1,15,3,Orthorhombic,,
62,42123,P n a m,Cr11 Ge8,Cr11,Cr,11,6,4,Ge8,Ge,8,14,4,Orthorhombic,,
62,42455,P n m a,Ca2 Ge,Ca2,Ca,2,2,4,Ge,Ge,1,14,4,Orthorhombic,,
62,42488,P b n m,U S2,U,U,1,3,7,S2,S,2,16,3,Orthorhombic,,
62,42572,P n m a,Rh As,Rh,Rh,1,9,5,As,As,1,15,4,Orthorhombic,,
62,42577,P n m a,Ru As,Ru,Ru,1,8,5,As,As,1,15,4,Orthorhombic,,
62,42595,P n m a,Pd2 Sn,Pd2,Pd,2,10,5,Sn,Sn,1,14,5,Orthorhombic,,
62,42731,P n m a,Ir3 Si4,Ir3,Ir,3,9,6,Si4,Si,4,14,3,Orthorhombic,,
62,42912,P n m a,Pt2 Ge3,Pt2,Pt,2,10,6,Ge3,Ge,3,14,4,Orthorhombic,,
62,42916,P n a m,Hf As2,Hf,Hf,1,4,6,As2,As,2,15,4,Orthorhombic,,
62,42944,P n m a,Nd Si,Nd,Nd,1,3,6,Si,Si,1,14,3,Orthorhombic,,
62,42945,P n m a,Pr Si,Pr,Pr,1,3,6,Si,Si,1,14,3,Orthorhombic,,
62,42960,P n m a,Rh2 Sb,Rh2,Rh,2,9,5,Sb,Sb,1,15,5,Orthorhombic,,
62,43028,P n m a,Sr Ge2,Sr,Sr,1,2,5,Ge2,Ge,2,14,4,Orthorhombic,,
62,43188,P n m a,Mo As,Mo,Mo,1,6,5,As,As,1,15,4,Orthorhombic,,
62,43249,P n m a,Co P,Co,Co,1,9,4,P,P,1,15,3,Orthorhombic,,
62,43494,P n m a,Ti Si,Ti,Ti,1,4,4,Si,Si,1,14,3,Orthorhombic,,
62,43514,P n m a,Pd3 B,Pd3,Pd,3,10,5,B,B,1,13,2,Orthorhombic,,
62,43521,P n m a,Co3 C,Co3,Co,3,9,4,C,C,1,14,2,Orthorhombic,,
62,43591,P n m a,Ru2 Si,Ru2,Ru,2,8,5,Si,Si,1,14,3,Orthorhombic,,
62,43615,P c m n,Ti Se0.95,Ti,Ti,1,4,4,Se0.95,Se,0.95,16,4,Orthorhombic,,
62,43686,P n m a,Ru2 P,Ru2,Ru,2,8,5,P,P,1,15,3,Orthorhombic,,
62,43687,P n m a,Co1.94 P,Co1.94,Co,1.94,9,4,P,P,1,15,3,Orthorhombic,,
62,43701,P n m a,Pd3 P0.95,Pd3,Pd,3,10,5,P0.95,P,0.95,15,3,Orthorhombic,,
62,43702,P n m a,Pd3 Si,Pd3,Pd,3,10,5,Si,Si,1,14,3,Orthorhombic,,
62,43704,P n m a,Rh4 P3,Rh4,Rh,4,9,5,P3,P,3,15,3,Orthorhombic,,
62,43815,P n m a,Am Si,Am,Am,1,3,7,Si,Si,1,14,3,Orthorhombic,,
62,43899,P n m a,Cr5 As3,Cr5,Cr,5,6,4,As3,As,3,15,4,Orthorhombic,,
62,44083,P n m a,V As,V,V,1,5,4,As,As,1,15,4,Orthorhombic,,
62,44085,P n m a,V4.95 As3,V4.95,V,4.95,5,4,As3,As,3,15,4,Orthorhombic,,
62,44086,P n m a,V5 As3,V5,V,5,5,4,As3,As,3,15,4,Orthorhombic,,
62,44339,P n m a,Co3 B,Co3,Co,3,9,4,B,B,1,13,2,Orthorhombic,,
62,87129,P m c n,Cr7 C3,Cr7,Cr,7,6,4,C3,C,3,14,2,Orthorhombic,,
62,410750,P n m a,Hf5 Sb3,Hf5,Hf,5,4,6,Sb3,Sb,3,15,5,Orthorhombic,,
62,42378,P n m a,Pr Ge,Pr,Pr,1,3,6,Ge,Ge,1,14,4,Orthorhombic,,
62,44738,P n m a,Eu D2,Eu,Eu,1,3,6,D2,D,2,1,1,Orthorhombic,,
62,44858,P n a m,Co2 Si,Co2,Co,2,9,4,Si,Si,1,14,3,Orthorhombic,,
62,44860,P n a m,Rh2 Ge,Rh2,Rh,2,9,5,Ge,Ge,1,14,4,Orthorhombic,,
62,44861,P n a m,Rh Ge,Rh,Rh,1,9,5,Ge,Ge,1,14,4,Orthorhombic,,
62,76029,P b n m,W P,W,W,1,6,6,P,P,1,15,3,Orthorhombic,,
62,76241,P n m a,Mn Te,Mn,Mn,1,7,4,Te,Te,1,16,5,Orthorhombic,,
62,76298,P n m a,Er5 Sb3,Er5,Er,5,3,6,Sb3,Sb,3,15,5,Orthorhombic,,
62,76306,P n m a,Hf5 Ge4,Hf5,Hf,5,4,6,Ge4,Ge,4,14,4,Orthorhombic,,
62,87256,P n m a,Tb5 Ge4,Tb5,Tb,5,3,6,Ge4,Ge,4,14,4,Orthorhombic,,
62,76622,P b n m,Ir Ge,Ir,Ir,1,9,6,Ge,Ge,1,14,4,Orthorhombic,,
62,76623,P b n m,Ni Ge,Ni,Ni,1,10,4,Ge,Ge,1,14,4,Orthorhombic,,
