Struct.formula,Struct.formula,,族1,族2,元素1数,元素2数,Table No.
Ti2 S,Ti2,S,4,16,2,1,58
Hf2 P,Hf2,P,4,15,2,1,58
Si1.04 B5.82,Si1.04,B5.82,14,13,1.04,5.82,58
Ru Te2,Ru,Te2,8,16,1,2,58
Fe2 C,Fe2,C,8,14,2,1,58
Ge O2,Ge,O2,14,16,1,2,58
Mn S2,Mn,S2,7,16,1,2,58
Mn B4,Mn,B4,7,13,1,4,58
Os B2,Os,B2,8,13,1,2,59
Cu3 Sn,Cu3,Sn,11,14,3,1,59
Er Au3,Er,Au3,3,11,1,3,59
Zr Au3,Zr,Au3,4,11,1,3,59
Er2 Sn5,Er2,Sn5,3,14,2,5,59
Ti O2,Ti,O2,4,16,1,2,60
K3 P11,K3,P11,1,15,3,11,60
W O3,W,O3,6,16,1,3,60
Mn N0.457,Mn,N0.457,7,15,1,0.457,60
Fe2 N,Fe2,N,8,15,2,1,60
B2 Cl4,B2,Cl4,13,17,2,4,61
Ni P,Ni,P,10,15,1,1,61
Zn Sb,Zn,Sb,12,15,1,1,61
Au3 Ca7,Au3,Ca7,11,2,3,7,61
Zn0.96 Sb,Zn0.96,Sb,12,15,0.96,1,61
Te2 Br,Te2,Br,16,17,2,1,62
Cs2 S,Cs2,S,1,16,2,1,62
Y5 Pt4,Y5,Pt4,3,10,5,4,62
V F5,V,F5,5,17,1,5,62
Yb D2,Yb,D2,3,1,1,2,62
Fe3 C,Fe3,C,8,14,3,1,62
Pd3 P0.8,Pd3,P0.8,10,15,3,0.8,62
Ti P2,Ti,P2,4,15,1,2,62
Nb0.9 S,Nb0.9,S,5,16,0.9,1,62
P4 Se3,P4,Se3,15,16,4,3,62
Th2 S3,Th2,S3,3,16,2,3,62
Na2 S5,Na2,S5,1,16,2,5,62
Eu H1.9,Eu,H1.9,3,1,1,1.9,62
U Te5,U,Te5,3,16,1,5,62
Ho2 S3,Ho2,S3,3,16,2,3,62
Tb2 S3,Tb2,S3,3,16,2,3,62
Tb2 Se3,Tb2,Se3,3,16,2,3,62
Sc2 Te,Sc2,Te,3,16,2,1,62
Rh As,Rh,As,9,15,1,1,62
Co P,Co,P,9,15,1,1,62
Am Si,Am,Si,3,14,1,1,62
Rh2 Ge,Rh2,Ge,9,14,2,1,62
Zr2 Te,Zr2,Te,4,16,2,1,62
Zr Te,Zr,Te,4,16,1,1,62
Ba5 Sb4,Ba5,Sb4,2,15,5,4,62
Rb2 C2,Rb2,C2,1,14,2,2,62
Yb5 Si4,Yb5,Si4,3,14,5,4,62
Au Ca3,Au,Ca3,11,2,1,3,62
Bi3 Rh,Bi3,Rh,15,9,3,1,62
Y F3,Y,F3,3,17,1,3,62
Cu6 Th,Cu6,Th,11,3,6,1,62
Ga Th,Ga,Th,13,3,1,1,62
Hg Mg2,Hg,Mg2,12,2,1,2,62
Pb Sr2,Pb,Sr2,14,2,1,2,62
Rh Zr,Rh,Zr,9,4,1,1,62
Ni Tb,Ni,Tb,10,3,1,1,62
P4.68 Se0.3125,P4.68,Se0.3125,15,16,4.68,0.3125,62
La3 Ir,La3,Ir,3,9,3,1,62
Nd2 Al,Nd2,Al,3,13,2,1,62
Zr3 As2,Zr3,As2,4,15,3,2,62
Au La,Au,La,11,3,1,1,62
Co3 B0.75,Co3,B0.75,9,13,3,0.75,62
Ca2 Hg,Ca2,Hg,2,12,2,1,62
Dy3 Co,Dy3,Co,3,9,3,1,62
Y3 Co,Y3,Co,3,9,3,1,62
Pu Cu6,Pu,Cu6,3,11,1,6,62
Dy3 Ir,Dy3,Ir,3,9,3,1,62
Dy Si,Dy,Si,3,14,1,1,62
Er Pt,Er,Pt,3,10,1,1,62
Ho2 Ga3.33,Ho2,Ga3.33,3,13,2,3.33,62
Gd3 Ir,Gd3,Ir,3,9,3,1,62
La Ge,La,Ge,3,14,1,1,62
Zr Ge,Zr,Ge,4,14,1,1,62
Ho Pt,Ho,Pt,3,10,1,1,62
La3 Os,La3,Os,3,8,3,1,62
Lu Zn3,Lu,Zn3,3,12,1,3,62
Nd5 Sn4,Nd5,Sn4,3,14,5,4,62
Yb3 O4,Yb3,O4,3,16,3,4,62
Pb S,Pb,S,14,16,1,1,62
Yb3 Pd,Yb3,Pd,3,10,3,1,62
Tb3 Pt,Tb3,Pt,3,10,3,1,62
Rh Se2,Rh,Se2,9,16,1,2,62
Y2 S3,Y2,S3,3,16,2,3,62
Sm2 Te3,Sm2,Te3,3,16,2,3,62
Ni Yb3,Ni,Yb3,10,3,1,3,62
Ta Br5,Ta,Br5,5,17,1,5,62
Al11 Mn4.6,Al11,Mn4.6,13,7,11,4.6,62
Pb O2,Pb,O2,14,16,1,2,62
Sr Hg3,Sr,Hg3,2,12,1,3,62
Lu5 Sb3,Lu5,Sb3,3,15,5,3,62
Ba7 Ge6,Ba7,Ge6,2,14,7,6,62
U I3,U,I3,3,17,1,3,63
Ta3 N5,Ta3,N5,5,15,3,5,63
Nd2 Te5,Nd2,Te5,3,16,2,5,63
Pu Br3,Pu,Br3,3,17,1,3,63
Fe0.91 S,Fe0.91,S,8,16,0.91,1,63
Tm8 S11,Tm8,S11,3,16,8,11,63
Cu Se,Cu,Se,11,16,1,1,63
Li11 Ge6,Li11,Ge6,1,14,11,6,63
Re3 B,Re3,B,7,13,3,1,63
Y Ge2.69,Y,Ge2.69,3,14,1,2.69,63
Th Ge2,Th,Ge2,3,14,1,2,63
Sr3 Sn5,Sr3,Sn5,2,14,3,5,63
Ba Zn5,Ba,Zn5,2,12,1,5,63
Tb Cl3,Tb,Cl3,3,17,1,3,63
Ga6.84 Li2,Ga6.84,Li2,13,1,6.84,2,63
Ag0.53 Cd0.47,Ag0.53,Cd0.47,11,12,0.53,0.47,63
Rh5 V3,Rh5,V3,9,5,5,3,63
Pr Ni,Pr,Ni,3,10,1,1,63
U Re2,U,Re2,3,7,1,2,63
Am Te3,Am,Te3,3,16,1,3,63
Fe B,Fe,B,8,13,1,1,63
Ce Ni,Ce,Ni,3,10,1,1,63
Dy Sn2,Dy,Sn2,3,14,1,2,63
Gd Ga,Gd,Ga,3,13,1,1,63
Tm Ga,Tm,Ga,3,13,1,1,63
Tm Ge2,Tm,Ge2,3,14,1,2,63
Pr3 In5,Pr3,In5,3,13,3,5,63
La Te3,La,Te3,3,16,1,3,63
Nd3 Tl5,Nd3,Tl5,3,13,3,5,63
Pd Sm,Pd,Sm,10,3,1,1,63
Pt Zr,Pt,Zr,10,4,1,1,63
Tm Sn2,Tm,Sn2,3,14,1,2,63
Lu3 Ge4,Lu3,Ge4,3,14,3,4,63
Al Pr,Al,Pr,13,3,1,1,63
Th Rh,Th,Rh,3,9,1,1,63
U2.67 Ga5.33,U2.67,Ga5.33,3,13,2.67,5.33,63
Ti0.836 Nb0.164,Ti0.836,Nb0.164,4,5,0.836,0.164,63
Ba Si6,Ba,Si6,2,14,1,6,63
Ta I5,Ta,I5,5,17,1,5,63
Ba In,Ba,In,2,13,1,1,63
La2 Ni3,La2,Ni3,3,10,2,3,64
C Se2,C,Se2,14,16,1,2,64
La S,La,S,3,16,1,1,64
Ce Sb2,Ce,Sb2,3,15,1,2,64
Mg1.037 Ir0.963,Mg1.037,Ir0.963,2,9,1.037,0.963,64
K Tl,K,Tl,1,13,1,1,64
Ta5 B6,Ta5,B6,5,13,5,6,65
Al3 Ni5,Al3,Ni5,13,10,3,5,65
Al2 Ti,Al2,Ti,13,4,2,1,65
Sm Sn2,Sm,Sn2,3,14,1,2,65
Pr Ge3.36,Pr,Ge3.36,3,14,1,3.36,65
Hf Si11,Hf,Si11,4,14,1,11,65
Fe Se0.92,Fe,Se0.92,8,16,1,0.92,67
Cs4 P6,Cs4,P6,1,15,4,6,69
Ti Si2,Ti,Si2,4,14,1,2,70
Ho2 Se3,Ho2,Se3,3,16,2,3,70
Nb Sn2,Nb,Sn2,5,14,1,2,70
Lu2 Te3,Lu2,Te3,3,16,2,3,70
Lu3 S4,Lu3,S4,3,16,3,4,70
U Te2,U,Te2,3,16,1,2,71
Mn3 B4,Mn3,B4,7,13,3,4,71
Gd3 Zn11,Gd3,Zn11,3,12,3,11,71
Ba11 Sb10,Ba11,Sb10,2,15,11,10,71
Dy3 Zn11,Dy3,Zn11,3,12,3,11,71
Pr3 Zn11,Pr3,Zn11,3,12,3,11,71
Gd Si5,Gd,Si5,3,14,1,5,71
Gd Ge5,Gd,Ge5,3,14,1,5,71
Si S2,Si,S2,14,16,1,2,72
Pt5 Ti3,Pt5,Ti3,10,4,5,3,72
Nd Si1.817,Nd,Si1.817,3,14,1,1.817,74
Al4 Np,Al4,Np,13,3,4,1,74
Au2 Sr,Au2,Sr,11,2,2,1,74
Ce Zn2,Ce,Zn2,3,12,1,2,74
Ho Zn2,Ho,Zn2,3,12,1,2,74
Cu2 Nd,Cu2,Nd,11,3,2,1,74
Gd Al4,Gd,Al4,3,13,1,4,74
Dy Cu2,Dy,Cu2,3,11,1,2,74
Dy2 Si3,Dy2,Si3,3,14,2,3,74
Nd Ge1.6,Nd,Ge1.6,3,14,1,1.6,74
Pr2 Si3,Pr2,Si3,3,14,2,3,74
Cu2 Sm,Cu2,Sm,11,3,2,1,74
Si72 O144,Si72,O144,14,16,72,144,74
Nd Ge1.73,Nd,Ge1.73,3,14,1,1.73,74
Pt S,Pt,S,10,16,1,1,84
