Struct.formula,Struct.formula,,族1,族2,元素1数,元素2数,Table No.
Co3 Ho,Co3,Ho,9,3,3,1,166
Fe6.8 Nb6.2,Fe6.8,Nb6.2,8,5,6.8,6.2,166
Gd2 Ni7,Gd2,Ni7,3,10,2,7,166
Lu2 Zn17,Lu2,Zn17,3,12,2,17,166
Yb2 Zn17,Yb2,Zn17,3,12,2,17,166
La2 Co7,La2,Co7,3,9,2,7,166
Nd2 Co17,Nd2,Co17,3,9,2,17,166
Er Al3,Er,Al3,3,13,1,3,166
Hf2 Be17,Hf2,Be17,4,2,2,17,166
Ce2 Co17,Ce2,Co17,3,9,2,17,166
Co3 Lu,Co3,Lu,9,3,3,1,166
Sm2 Co7,Sm2,Co7,3,9,2,7,166
Co3 Tm,Co3,Tm,9,3,3,1,166
Dy Ni3,Dy,Ni3,3,10,1,3,166
Pr2.33 Fe16.33,Pr2.33,Fe16.33,3,8,2.33,16.33,166
Fe7 Th2,Fe7,Th2,8,3,7,2,166
Ho2 Ni7,Ho2,Ni7,3,10,2,7,166
Mn6 Si7,Mn6,Si7,7,14,6,7,166
Ni7 Tb2,Ni7,Tb2,10,3,7,2,166
Tl S,Tl,S,13,16,1,1,166
Co7 Tm2,Co7,Tm2,9,3,7,2,166
Li2 O,Li2,O,1,16,2,1,166
Sb Sn,Sb,Sn,15,14,1,1,166
Ni O0.81,Ni,O0.81,10,16,1,0.81,166
Dy2 Fe17,Dy2,Fe17,3,8,2,17,166
Ce2 Zn17.45,Ce2,Zn17.45,3,12,2,17.45,166
Bi4 Ir,Bi4,Ir,15,9,4,1,166
Ti1.886 O3,Ti1.886,O3,4,16,1.886,3,167
Rh F3,Rh,F3,9,17,1,3,167
Cr F3,Cr,F3,6,17,1,3,167
Ti F3,Ti,F3,4,17,1,3,167
Yb8 In3,Yb8,In3,3,13,8,3,167
Rb8 In11,Rb8,In11,1,13,8,11,167
Zn3.09 Sb2.5,Zn3.09,Sb2.5,12,15,3.09,2.5,167
Au51 U14,Au51,U14,11,3,51,14,175
Pu14 Ag51,Pu14,Ag51,3,11,14,51,175
Pu14 Au51,Pu14,Au51,3,11,14,51,175
Eu14 Hg51,Eu14,Hg51,3,12,14,51,175
Ag51 Gd14,Ag51,Gd14,11,3,51,14,175
Y14 Ag51,Y14,Ag51,3,11,14,51,175
Ca14 Cd51,Ca14,Cd51,2,12,14,51,175
Y13.28 Cu50.16,Y13.28,Cu50.16,3,11,13.28,50.16,175
U7 Te12,U7,Te12,3,16,7,12,176
Cr12 P7,Cr12,P7,6,15,12,7,176
Tb Cl3,Tb,Cl3,3,17,1,3,176
U7 Se12,U7,Se12,3,16,7,12,176
Er4 Co3,Er4,Co3,3,9,4,3,176
Y4 Co3.11,Y4,Co3.11,3,9,4,3.11,176
Pr B3,Pr,B3,3,13,1,3,176
Zn2 Th,Zn2,Th,12,3,2,1,191
Yb Si2,Yb,Si2,3,14,1,2,191
Ti B2,Ti,B2,4,13,1,2,191
Mo B2,Mo,B2,6,13,1,2,191
Er B2,Er,B2,3,13,1,2,191
U Ge1.57,U,Ge1.57,3,14,1,1.57,191
Lu Ge1.5,Lu,Ge1.5,3,14,1,1.5,191
Ag5 Eu,Ag5,Eu,11,3,5,1,191
Ba Pt5,Ba,Pt5,2,10,1,5,191
Ca Ga2,Ca,Ga2,2,13,1,2,191
Ce Cu5,Ce,Cu5,3,11,1,5,191
Co5 Dy,Co5,Dy,9,3,5,1,191
Co5 Sm,Co5,Sm,9,3,5,1,191
Cu5 Sm,Cu5,Sm,11,3,5,1,191
Er Hg2,Er,Hg2,3,12,1,2,191
Eu Zn5,Eu,Zn5,3,12,1,5,191
Ga2 Nd,Ga2,Nd,13,3,2,1,191
Gd Zn5,Gd,Zn5,3,12,1,5,191
La Pd5,La,Pd5,3,10,1,5,191
Ni5 Sc,Ni5,Sc,10,3,5,1,191
Pu0.75 Zr2.25,Pu0.75,Zr2.25,3,4,0.75,2.25,191
Au5 K,Au5,K,11,1,5,1,191
Au2 U,Au2,U,11,3,2,1,191
Cu5 Eu,Cu5,Eu,11,3,5,1,191
Gd Ge2,Gd,Ge2,3,14,1,2,191
Cu5.25 Dy0.75,Cu5.25,Dy0.75,11,3,5.25,0.75,191
La0.983 Ni5.034,La0.983,Ni5.034,3,10,0.983,5.034,191
Nb0.848 B2,Nb0.848,B2,5,13,0.848,2,191
Nb B1.986,Nb,B1.986,5,13,1,1.986,191
Y0.82 Cu5.36,Y0.82,Cu5.36,3,11,0.82,5.36,191
Sm0.8 Co5.4,Sm0.8,Co5.4,3,9,0.8,5.4,191
Ca0.881 Ga2.356,Ca0.881,Ga2.356,2,13,0.881,2.356,191
Yb Ga2,Yb,Ga2,3,13,1,2,191
Si O2.267,Si,O2.267,14,16,1,2.267,192
Ti5 P3,Ti5,P3,4,15,5,3,193
U5 Ge4,U5,Ge4,3,14,5,4,193
Y5 Si3,Y5,Si3,3,14,5,3,193
Np5 Ge4,Np5,Ge4,3,14,5,4,193
U5 Ge3,U5,Ge3,3,14,5,3,193
Dy5 Sn3,Dy5,Sn3,3,14,5,3,193
Pb3 Sc5,Pb3,Sc5,14,3,3,5,193
K3 N,K3,N,1,15,3,1,193
Sm5 Sb3,Sm5,Sb3,3,15,5,3,193
Nd5 Bi3,Nd5,Bi3,3,15,5,3,193
Ce5 Sn3,Ce5,Sn3,3,14,5,3,193
Er5 Tl3,Er5,Tl3,3,13,5,3,193
V5 Ga3,V5,Ga3,5,13,5,3,193
Ge3 Mn5,Ge3,Mn5,14,7,3,5,193
Hf5 Sn4,Hf5,Sn4,4,14,5,4,193
Tb5 Ir3,Tb5,Ir3,3,9,5,3,193
Lu5 Rh3,Lu5,Rh3,3,9,5,3,193
Sm5 Pb3,Sm5,Pb3,3,14,5,3,193
Yb5 Pt3,Yb5,Pt3,3,10,5,3,193
Tb5 Sn3,Tb5,Sn3,3,14,5,3,193
Eu5 Sb3,Eu5,Sb3,3,15,5,3,193
W2 B3.72,W2,B3.72,6,13,2,3.72,193
Mo0.8 B3,Mo0.8,B3,6,13,0.8,3,194
Zr Po,Zr,Po,4,16,1,1,194
V Sb,V,Sb,5,15,1,1,194
Li2 O2,Li2,O2,1,16,2,2,194
Na3 As,Na3,As,1,15,3,1,194
Mo S2,Mo,S2,6,16,1,2,194
Mo0.82 N,Mo0.82,N,6,15,0.82,1,194
W4.6 N4,W4.6,N4,6,15,4.6,4,194
K2 Te2,K2,Te2,1,16,2,2,194
Rh5 B4,Rh5,B4,9,13,5,4,194
Pd Sb,Pd,Sb,10,15,1,1,194
W0.6 N,W0.6,N,6,15,0.6,1,194
Gd H3,Gd,H3,3,1,1,3,194
Mn1.09 Sb,Mn1.09,Sb,7,15,1.09,1,194
Co D0.18,Co,D0.18,9,1,1,0.18,194
V S,V,S,5,16,1,1,194
Co1.7 Ge,Co1.7,Ge,9,14,1.7,1,194
Ni3.33 Ge2,Ni3.33,Ge2,10,14,3.33,2,194
Al5 Rh2,Al5,Rh2,13,9,5,2,194
Ag0.03 Mg0.97,Ag0.03,Mg0.97,11,2,0.03,0.97,194
Ba Tl2,Ba,Tl2,2,13,1,2,194
Bi Ni,Bi,Ni,15,10,1,1,194
Cd3 Gd,Cd3,Gd,12,3,3,1,194
Cd3 Sc,Cd3,Sc,12,3,3,1,194
Ce Sm,Ce,Sm,3,3,1,1,194
Co2.9 Sn2,Co2.9,Sn2,9,14,2.9,2,194
Dy Mg2,Dy,Mg2,3,2,1,2,194
Eu Mg4,Eu,Mg4,3,2,1,4,194
Fe17 Tm2,Fe17,Tm2,8,3,17,2,194
Gd0.93 Pr1.07,Gd0.93,Pr1.07,3,3,0.93,1.07,194
Hg0.75 Th0.25,Hg0.75,Th0.25,12,3,0.75,0.25,194
La2 Mg17,La2,Mg17,3,2,2,17,194
Mg2 Y,Mg2,Y,2,3,2,1,194
Na13 Pb5,Na13,Pb5,1,14,13,5,194
Ni17 Tm2,Ni17,Tm2,10,3,17,2,194
Pu13 Zn58,Pu13,Zn58,3,12,13,58,194
Sr Tl2,Sr,Tl2,2,13,1,2,194
Mn N0.421,Mn,N0.421,7,15,1,0.421,194
Cr2 Ta,Cr2,Ta,6,5,2,1,194
W Fe2,W,Fe2,6,8,1,2,194
Fe17 Ho2,Fe17,Ho2,8,3,17,2,194
Mn3 Ga,Mn3,Ga,7,13,3,1,194
Al17 Dy2,Al17,Dy2,13,3,17,2,194
Sm Al3,Sm,Al3,3,13,1,3,194
W B2,W,B2,6,13,1,2,194
Bk H3,Bk,H3,3,1,1,3,194
Th Cd5,Th,Cd5,3,12,1,5,194
Co17 Gd2,Co17,Gd2,9,3,17,2,194
Pr2 Co7,Pr2,Co7,3,9,2,7,194
Ti Co2,Ti,Co2,4,9,1,2,194
Ti Cr2,Ti,Cr2,4,6,1,2,194
Dy Ho,Dy,Ho,3,3,1,1,194
Er1 H0.3,Er1,H0.3,3,1,1,0.3,194
Eu Fe2,Eu,Fe2,3,8,1,2,194
Hf Fe2,Hf,Fe2,4,8,1,2,194
Fe2 Tb,Fe2,Tb,8,3,2,1,194
Tb Ga3,Tb,Ga3,3,13,1,3,194
Gd Ru2,Gd,Ru2,3,8,1,2,194
Re H0.25,Re,H0.25,7,1,1,0.25,194
Hf Tc2,Hf,Tc2,4,7,1,2,194
Hg3 Tm,Hg3,Tm,12,3,3,1,194
Ho Zn5,Ho,Zn5,3,12,1,5,194
In Tb2,In,Tb2,13,3,1,2,194
Lu Mg2,Lu,Mg2,3,2,1,2,194
Mg2 Sr,Mg2,Sr,2,2,2,1,194
Mn2 Th,Mn2,Th,7,3,2,1,194
Ti N0.17,Ti,N0.17,4,15,1,0.17,194
Pr2 Ni7,Pr2,Ni7,3,10,2,7,194
Y2 Ni7,Y2,Ni7,3,10,2,7,194
Os2 Pu,Os2,Pu,8,3,2,1,194
Pd3 Ti,Pd3,Ti,10,4,3,1,194
Re2 Sm,Re2,Sm,7,3,2,1,194
Rh Tc,Rh,Tc,9,7,1,1,194
Sc Tc2,Sc,Tc2,3,7,1,2,194
Tb13 Zn58,Tb13,Zn58,3,12,13,58,194
Tm2 Zn17,Tm2,Zn17,3,12,2,17,194
Fe17 Lu2,Fe17,Lu2,8,3,17,2,194
In0.4 Pt0.6,In0.4,Pt0.6,13,10,0.4,0.6,194
Ag0.75 Si0.25,Ag0.75,Si0.25,11,14,0.75,0.25,194
Cd0.75 Hg0.25,Cd0.75,Hg0.25,12,12,0.75,0.25,194
Gd3 La,Gd3,La,3,3,3,1,194
Ni Pb,Ni,Pb,10,14,1,1,194
Th0.2 Zr0.8,Th0.2,Zr0.8,3,4,0.2,0.8,194
Bi Pd,Bi,Pd,15,10,1,1,194
Sm Os2,Sm,Os2,3,8,1,2,194
Dy1.85 Fe17.3,Dy1.85,Fe17.3,3,8,1.85,17.3,194
Re0.75 Rh0.25,Re0.75,Rh0.25,7,9,0.75,0.25,194
Mn1.7 Sb,Mn1.7,Sb,7,15,1.7,1,194
Fe0.990 S,Fe0.990,S,8,16,0.99,1,194
Au1.7 Sn0.3,Au1.7,Sn0.3,11,14,1.7,0.3,194
Tm1.77 Fe17.27,Tm1.77,Fe17.27,3,8,1.77,17.27,194
Al2 U,Al2,U,13,3,2,1,194
Tm0.83 Mg2.17,Tm0.83,Mg2.17,3,2,0.83,2.17,194
Li B,Li,B,1,13,1,1,194
Mo1.7 N2,Mo1.7,N2,6,15,1.7,2,194
Fe6 Sc29,Fe6,Sc29,8,3,6,29,200
Sc57 Pt13,Sc57,Pt13,3,10,57,13,200
Ca C2,Ca,C2,2,14,1,2,201
Na9.28 C60,Na9.28,C60,1,14,9.28,60,202
Ir Sb3,Ir,Sb3,9,15,1,3,204
Cs6 C60,Cs6,C60,1,14,6,60,204
Al12 W,Al12,W,13,6,12,1,204
Ce Cd6,Ce,Cd6,3,12,1,6,204
Sr Cd6,Sr,Cd6,2,12,1,6,204
Eu3 Cd19,Eu3,Cd19,3,12,3,19,204
Ir P3,Ir,P3,9,15,1,3,204
C O2,C,O2,14,16,1,2,205
Pd As2,Pd,As2,10,15,1,2,205
Pt As2,Pt,As2,10,15,1,2,205
H Br,H,Br,1,17,1,1,205
Rh0.9 Se2,Rh0.9,Se2,9,16,0.9,2,205
Th C2,Th,C2,3,14,1,2,205
Cu Te2,Cu,Te2,11,16,1,2,205
Fe0.987 S2,Fe0.987,S2,8,16,0.987,2,205
Pt O2,Pt,O2,10,16,1,2,205
Ho2 O3,Ho2,O3,3,16,2,3,206
Sm2 O3,Sm2,O3,3,16,2,3,206
Zn3 As2,Zn3,As2,12,15,3,2,206
Lu2 N3,Lu2,N3,3,15,2,3,206
Pu2 O3,Pu2,O3,3,16,2,3,206
Cs Br,Cs,Br,1,17,1,1,221
Pd17 Se15,Pd17,Se15,10,16,17,15,221
Cs I,Cs,I,1,17,1,1,221
Ta O1.7,Ta,O1.7,5,16,1,1.7,221
Ce B6,Ce,B6,3,13,1,6,221
Fe0.988 Ti,Fe0.988,Ti,8,4,0.988,1,221
Na Cl,Na,Cl,1,17,1,1,221
In Te,In,Te,13,16,1,1,221
Au3 Cu,Au3,Cu,11,11,3,1,221
Sn Te,Sn,Te,14,16,1,1,221
Eu Te,Eu,Te,3,16,1,1,221
Al Ir,Al,Ir,13,9,1,1,221
Al3 Pr,Al3,Pr,13,3,3,1,221
Ti Fe,Ti,Fe,4,8,1,1,221
Al3 Yb,Al3,Yb,13,3,3,1,221
Ag3 Mg,Ag3,Mg,11,2,3,1,221
Ag Zn,Ag,Zn,11,12,1,1,221
Au Nd,Au,Nd,11,3,1,1,221
Au Zn,Au,Zn,11,12,1,1,221
Bi3 Sr,Bi3,Sr,15,2,3,1,221
Ca Tl,Ca,Tl,2,13,1,1,221
Cd Nd,Cd,Nd,12,3,1,1,221
Ce3 Ga,Ce3,Ga,3,13,3,1,221
Ce Tl3,Ce,Tl3,3,13,1,3,221
Co3 Ti,Co3,Ti,9,4,3,1,221
Cu Tm,Cu,Tm,11,3,1,1,221
Er In3,Er,In3,3,13,1,3,221
Er Zn,Er,Zn,3,12,1,1,221
Eu Pb3,Eu,Pb3,3,14,1,3,221
Ga3 Lu,Ga3,Lu,13,3,3,1,221
Ga1.08 Pt2.92,Ga1.08,Pt2.92,13,10,1.08,2.92,221
Gd In,Gd,In,3,13,1,1,221
Gd Zn,Gd,Zn,3,12,1,1,221
Hg La,Hg,La,12,3,1,1,221
Hg Tl,Hg,Tl,12,13,1,1,221
Ho Pd,Ho,Pd,3,10,1,1,221
Ir3 Nd,Ir3,Nd,9,3,3,1,221
Ir3 Zr,Ir3,Zr,9,4,3,1,221
Li Pb,Li,Pb,1,14,1,1,221
Lu Zn,Lu,Zn,3,12,1,1,221
Mn Ni,Mn,Ni,7,10,1,1,221
Nb Rh3,Nb,Rh3,5,9,1,3,221
Nd Zn,Nd,Zn,3,12,1,1,221
Pa Rh3,Pa,Rh3,3,9,1,3,221
Pb3 Yb,Pb3,Yb,14,3,3,1,221
Pd Tm,Pd,Tm,10,3,1,1,221
Pt Ti,Pt,Ti,10,4,1,1,221
Pu Sn3,Pu,Sn3,3,14,1,3,221
Rh3 U,Rh3,U,9,3,3,1,221
Sm Tl,Sm,Tl,3,13,1,1,221
Tb Tl,Tb,Tl,3,13,1,1,221
Tl3 Y,Tl3,Y,13,3,3,1,221
K B5.67,K,B5.67,1,13,1,5.67,221
Al Fe,Al,Fe,13,8,1,1,221
In3 U,In3,U,13,3,3,1,221
Er B6,Er,B6,3,13,1,6,221
Ce Cd11,Ce,Cd11,3,12,1,11,221
Fe Rh,Fe,Rh,8,9,1,1,221
In Pr3,In,Pr3,13,3,1,3,221
In3 Tm,In3,Tm,13,3,3,1,221
Pr Zn,Pr,Zn,3,12,1,1,221
In Ni,In,Ni,13,10,1,1,221
Au0.3 Te0.7,Au0.3,Te0.7,11,16,0.3,0.7,221
In0.4 Sb0.6,In0.4,Sb0.6,13,15,0.4,0.6,221
Ru Yb,Ru,Yb,8,3,1,1,221
Dy Ag,Dy,Ag,3,11,1,1,221
Rb Au,Rb,Au,1,11,1,1,221
Y Cu,Y,Cu,3,11,1,1,221
U Rh3,U,Rh3,3,9,1,3,221
La3 In,La3,In,3,13,3,1,221
Mg Ni3,Mg,Ni3,2,10,1,3,221
K7.4 Ge45,K7.4,Ge45,1,14,7.4,45,223
Ti3 Sb,Ti3,Sb,4,15,3,1,223
K7.52 Ge44.05,K7.52,Ge44.05,1,14,7.52,44.05,223
Cs8 Sn44.24,Cs8,Sn44.24,1,14,8,44.24,223
Bi Nb3,Bi,Nb3,15,5,1,3,223
Ga Mo3,Ga,Mo3,13,6,1,3,223
Mo3 Os,Mo3,Os,6,8,3,1,223
Ni0.9 V3.1,Ni0.9,V3.1,10,5,0.9,3.1,223
Sn V3,Sn,V3,14,5,1,3,223
Cs4 Sn23,Cs4,Sn23,1,14,4,23,223
K6.95 Si46,K6.95,Si46,1,14,6.95,46,223
Cs6.9 Si46,Cs6.9,Si46,1,14,6.9,46,223
Pb2 O,Pb2,O,14,16,2,1,224
Ag2 O3,Ag2,O3,11,16,2,3,224
Ag2 O,Ag2,O,11,16,2,1,224
Li3 Tl,Li3,Tl,1,13,3,1,225
Rb Br,Rb,Br,1,17,1,1,225
Y Po,Y,Po,3,16,1,1,225
Sm C0.40,Sm,C0.40,3,14,1,0.4,225
Li H0.984,Li,H0.984,1,1,1,0.984,225
Pa O,Pa,O,3,16,1,1,225
Zr N,Zr,N,4,15,1,1,225
Sm Se,Sm,Se,3,16,1,1,225
Cd F2,Cd,F2,12,17,1,2,225
Al2 O,Al2,O,13,16,2,1,225
Nd S,Nd,S,3,16,1,1,225
Fe0.974 O,Fe0.974,O,8,16,0.974,1,225
Cu I,Cu,I,11,17,1,1,225
Pu N,Pu,N,3,15,1,1,225
Fe N0.0589,Fe,N0.0589,8,15,1,0.0589,225
Ra F2,Ra,F2,2,17,1,2,225
Pb S,Pb,S,14,16,1,1,225
K2 O,K2,O,1,16,2,1,225
Tl Cl,Tl,Cl,13,17,1,1,225
Th N,Th,N,3,15,1,1,225
Cu O,Cu,O,11,16,1,1,225
Th O2.016,Th,O2.016,3,16,1,2.016,225
Fe0.95 O,Fe0.95,O,8,16,0.95,1,225
Yb0.962 S0.9954,Yb0.962,S0.9954,3,16,0.962,0.9954,225
Na1.976 S,Na1.976,S,1,16,1.976,1,225
Tb H2.25,Tb,H2.25,3,1,1,2.25,225
Nb C0.84,Nb,C0.84,5,14,1,0.84,225
Ho Se,Ho,Se,3,16,1,1,225
Y Te,Y,Te,3,16,1,1,225
Yb Sb,Yb,Sb,3,15,1,1,225
Cm As,Cm,As,3,15,1,1,225
U As,U,As,3,15,1,1,225
Np P,Np,P,3,15,1,1,225
Gd H2,Gd,H2,3,1,1,2,225
Co9 Se8,Co9,Se8,9,16,9,8,225
Sc Se,Sc,Se,3,16,1,1,225
Mn Te,Mn,Te,7,16,1,1,225
Cu5 Ge2,Cu5,Ge2,11,14,5,2,225
Cs H,Cs,H,1,1,1,1,225
Nd D2.61,Nd,D2.61,3,1,1,2.61,225
Ce Sb,Ce,Sb,3,15,1,1,225
Bk P,Bk,P,3,15,1,1,225
Ce O,Ce,O,3,16,1,1,225
Np C,Np,C,3,14,1,1,225
U O2,U,O2,3,16,1,2,225
Pu Se,Pu,Se,3,16,1,1,225
Er S,Er,S,3,16,1,1,225
Cs F,Cs,F,1,17,1,1,225
Pd D0.93,Pd,D0.93,10,1,1,0.93,225
Y H2,Y,H2,3,1,1,2,225
Al2 Pt,Al2,Pt,13,10,2,1,225
Ag0.81 In0.19,Ag0.81,In0.19,11,13,0.81,0.19,225
Au0.9 In0.1,Au0.9,In0.1,11,13,0.9,0.1,225
Bi Dy,Bi,Dy,15,3,1,1,225
Bi Sc,Bi,Sc,15,3,1,1,225
Ca3 Tl,Ca3,Tl,2,13,3,1,225
Ce Mg3,Ce,Mg3,3,2,1,3,225
Er Te,Er,Te,3,16,1,1,225
Pr O,Pr,O,3,16,1,1,225
Eu Po,Eu,Po,3,16,1,1,225
Gd S,Gd,S,3,16,1,1,225
Li3 Pb,Li3,Pb,1,14,3,1,225
Mn Pd3,Mn,Pd3,7,10,1,3,225
Mn22 Y6,Mn22,Y6,7,3,22,6,225
Po Sm,Po,Sm,16,3,1,1,225
Dy S,Dy,S,3,16,1,1,225
Al Fe3,Al,Fe3,13,8,1,3,225
Yb B12,Yb,B12,3,13,1,12,225
Dy B12,Dy,B12,3,13,1,12,225
Ba6 Mg23,Ba6,Mg23,2,2,6,23,225
Th C0.175,Th,C0.175,3,14,1,0.175,225
Co3 V,Co3,V,9,5,3,1,225
Cu3 Zn,Cu3,Zn,11,12,3,1,225
Lu6 Fe23,Lu6,Fe23,3,8,6,23,225
Gd6 Zn23,Gd6,Zn23,3,12,6,23,225
Ir2 P,Ir2,P,9,15,2,1,225
Sm Mg3,Sm,Mg3,3,2,1,3,225
Pa N,Pa,N,3,15,1,1,225
Zr11 Os4,Zr11,Os4,4,8,11,4,225
Sc11 Ru4,Sc11,Ru4,3,8,11,4,225
Ca5 C60,Ca5,C60,2,14,5,60,225
In0.15 Pt0.85,In0.15,Pt0.85,13,10,0.15,0.85,225
Ag0.65 Hg0.35,Ag0.65,Hg0.35,11,12,0.65,0.35,225
Al0.1 Pt0.9,Al0.1,Pt0.9,13,10,0.1,0.9,225
Am0.027 La0.973,Am0.027,La0.973,3,3,0.027,0.973,225
Au0.973 Ge0.027,Au0.973,Ge0.027,11,14,0.973,0.027,225
Ba0.22 Sr0.78,Ba0.22,Sr0.78,2,2,0.22,0.78,225
Ce3 Sc,Ce3,Sc,3,3,3,1,225
Cu0.995 Eu0.005,Cu0.995,Eu0.005,11,3,0.995,0.005,225
Ga0.15 Pd0.85,Ga0.15,Pd0.85,13,10,0.15,0.85,225
Ni0.85 Sn0.15,Ni0.85,Sn0.15,10,14,0.85,0.15,225
Pd0.6 W0.4,Pd0.6,W0.4,10,6,0.6,0.4,225
U O2.06,U,O2.06,3,16,1,2.06,225
Cu1.83 Se,Cu1.83,Se,11,16,1.83,1,225
Pb0.45 Te0.55,Pb0.45,Te0.55,14,16,0.45,0.55,225
Na3 N,Na3,N,1,15,3,1,225
U1.76 O4.8,U1.76,O4.8,3,16,1.76,4.8,225
Co Pt3,Co,Pt3,9,10,1,3,225
Nb N0.88,Nb,N0.88,5,15,1,0.88,225
Ba Be13,Ba,Be13,2,2,1,13,226
Eu Zn13,Eu,Zn13,3,12,1,13,226
Ho B66,Ho,B66,3,13,1,66,226
Be13 Ce,Be13,Ce,2,3,13,1,226
Be13 Sc,Be13,Sc,2,3,13,1,226
Yb Zn13,Yb,Zn13,3,12,1,13,226
Y B62,Y,B62,3,13,1,62,226
Al21.33 S32,Al21.33,S32,13,16,21.33,32,227
Ni3 S4,Ni3,S4,10,16,3,4,227
Y0.75 Se,Y0.75,Se,3,16,0.75,1,227
Fe2.946 O4,Fe2.946,O4,8,16,2.946,4,227
Fe2.950 O4,Fe2.950,O4,8,16,2.95,4,227
Na3 Si136,Na3,Si136,1,14,3,136,227
Na16.072 Si134.816,Na16.072,Si134.816,1,14,16.072,134.816,227
Y S2,Y,S2,3,16,1,2,227
Al2 La,Al2,La,13,3,2,1,227
Zr Co2,Zr,Co2,4,9,1,2,227
Am Ir2,Am,Ir2,3,9,1,2,227
Be2 Ta,Be2,Ta,2,5,2,1,227
Cd1.83 Na1.17,Cd1.83,Na1.17,12,1,1.83,1.17,227
Co2 Dy,Co2,Dy,9,3,2,1,227
Co2 Np,Co2,Np,9,3,2,1,227
Co2 Y,Co2,Y,9,3,2,1,227
Er Pt2,Er,Pt2,3,10,1,2,227
Fe2 Pu,Fe2,Pu,8,3,2,1,227
Gd Pt2,Gd,Pt2,3,10,1,2,227
Ho Rh2,Ho,Rh2,3,9,1,2,227
Ir2 Tm,Ir2,Tm,9,3,2,1,227
Li Zn,Li,Zn,1,12,1,1,227
Mn2 U,Mn2,U,7,3,2,1,227
Ni2 Sm,Ni2,Sm,10,3,2,1,227
Pt2 Pu,Pt2,Pu,10,3,2,1,227
Rh2 Tb,Rh2,Tb,9,3,2,1,227
Zn22 Zr,Zn22,Zr,12,4,22,1,227
Na0.852 Tl,Na0.852,Tl,1,13,0.852,1,227
Cu2 Mg,Cu2,Mg,11,2,2,1,227
Be22 Tc,Be22,Tc,2,7,22,1,227
Er Ni2,Er,Ni2,3,10,1,2,227
Li Ga,Li,Ga,1,13,1,1,227
Hf2 Rh,Hf2,Rh,4,9,2,1,227
Mg2 Sn,Mg2,Sn,2,14,2,1,227
Pd2 Tb4.86,Pd2,Tb4.86,10,3,2,4.86,227
Zr3 S4,Zr3,S4,4,16,3,4,227
Co2.77 O4,Co2.77,O4,9,16,2.77,4,227
Mg In2,Mg,In2,2,13,1,2,227
Ba Rh2,Ba,Rh2,2,9,1,2,227
Sb6 O13,Sb6,O13,15,16,6,13,227
Y Ni2,Y,Ni2,3,10,1,2,227
Ti2 Co0.97,Ti2,Co0.97,4,9,2,0.97,227
Tb Al2,Tb,Al2,3,13,1,2,227
Ca Al2,Ca,Al2,2,13,1,2,227
Na20.48 Si136,Na20.48,Si136,1,14,20.48,136,227
Na1.00 Si17,Na1.00,Si17,1,14,1,17,227
Eu Al2,Eu,Al2,3,13,1,2,227
Na7.5 Si34,Na7.5,Si34,1,14,7.5,34,227
Nb6 F15,Nb6,F15,5,17,6,15,229
Ta H0.1,Ta,H0.1,5,1,1,0.1,229
Au0.3 Nb0.7,Au0.3,Nb0.7,11,5,0.3,0.7,229
Dy0.75 Mg0.25,Dy0.75,Mg0.25,3,2,0.75,0.25,229
Nb Zr,Nb,Zr,5,4,1,1,229
Cr V,Cr,V,6,5,1,1,229
Pt Hg4,Pt,Hg4,10,12,1,4,229
Ta N0.075,Ta,N0.075,5,15,1,0.075,229
Ta V,Ta,V,5,5,1,1,229
In0.25 Tl0.75,In0.25,Tl0.75,13,13,0.25,0.75,229
Cr0.91 Si0.09,Cr0.91,Si0.09,6,14,0.91,0.09,229
Mo0.85 Os0.15,Mo0.85,Os0.15,6,8,0.85,0.15,229
Pd0.046 W0.954,Pd0.046,W0.954,10,6,0.046,0.954,229
Fe Zn,Fe,Zn,8,12,1,1,229
Bi4 Rh,Bi4,Rh,15,9,4,1,230
Nb2 O5,Nb2,Nb,5,16,2,5,10
Zr I4,Zr,Zr,4,17,1,4,13
