A,B,x,y,Chiral
7,8,0.6,0.4,1
8,7,1,1,1
7,13,17,3,1
5,13,3,2,1
7,10,0.85,0.15,1
7,12,12,8,1
8,7,2,3,1
5,11,11.04,8.96,1
7,9,0.85,0.15,1
7,9,0.75,0.25,1
7,9,0.6,0.4,1
1,14,7.4,25,1
9,12,2.61,2.39,1
9,12,2.5,2.5,1
9,12,2.42,2.58,1
9,12,2.37,2.63,1
9,12,2.6,2.4,1
2,14,1,2,1
5,14,8,7,1
5,14,1,0.88,1
8,16,21.34,32,1
8,16,21.16,31.92,1
1,14,6,25,1
8,16,21.34,26.67,1
8,16,2.12,3.19,1
1,14,1,2,1
16,17,1,1,0
2,15,1,3,0
5,16,7,13,0
5,16,1,2,0
5,16,1,3,0
4,10,8,21,0
4,10,3,7,0
8,15,1,4,0
4,16,4,7,0
5,16,2,9,0
4,16,5,9,0
4,16,7,13,0
4,16,8,15,0
4,16,9,17,0
5,17,1,5,0
13,7,11,4,0
7,15,1,4,0
15,16,4,10,0
1,16,2,6,0
7,15,2,5,0
7,16,1,2,0
6,16,18,52,0
13,17,1,3,0
13,17,1,3,0
4,16,10,18,0
12,16,1,1,0
15,1,4,4,0
15,17,2,4,0
4,17,1,3,0
1,12,1,1,0
4,17,1,4,0
8,15,1,3,0
16,17,1,6,0
16,17,4,4,0
7,15,2,3,0
2,14,1,2,0
3,16,11,20,0
2,15,1,3,0
6,16,13,33,0
7,16,1,2,0
7,17,1,7,0
17,16,4,12,0
6,16,1,3,0
3,16,9,16,0
6,17,1,5,0
7,16,1,2,0
3,17,1,5,0
11,17,4,8,0
5,16,6,1,0
14,16,1,2,0
7,15,2,3,0
3,16,11,20,0
3,17,6,13,0
3,17,14,33,0
5,16,1,2,0
3,16,6,11,0
3,16,1,1,0
4,16,1,2,0
14,16,3,8,0
7,13,4,11,0
13,7,3.91,1,0
10,4,21,8,0
2,15,1,8,0
3,14,2,3,0
15,16,4,7,0
2,13,8,3,0
5,16,6,11,0
5,16,4,7,0
5,16,5,9,0
4,16,6,11,0
11,13,7,3,0
13,3,3,8,0
12,1,1,1,0
3,14,3,8,0
9,13,3,5,0
4,17,1,4,0
4,11,1,1,0
3,13,1,1,0
9,13,18,11,0
12,15,13,10,0
3,15,1,3,0
2,15,1,3,0
8,15,1,4,0
7,16,1,2,0
12,15,84,65,0
14,17,90,32,0
3,13,8,3,0
7,13,6,29,0
4,10,1,1,0
6,3,0.1,0.9,0
14,17,3,6,0
10,13,6.742,3,0
2,13,8,3,0
1,16,2,1,0
8,14,5,2,0
14,17,76,26.24,0
7,13,1,4.83,0
11,16,29,16,0
15,16,2,3,0
5,16,8,15,0
5,16,9,17,0
9,16,1,2,0
1,13,1,0.5,0
5,17,1,5,0
7,13,8,32.06,0
5,17,1,4,0
11,15,2,20,0
14,17,90,50,0
14,16,16,32,0
6,13,6,31,0
14,17,84,35.47,0
13,8,12.59,6.41,0
15,16,2,7,0
14,17,90,24.08,0
14,17,90,28.89,0
14,17,90,24,0
14,17,90,22.68,0
14,17,96,22.02,0
5,17,1,5,0
7,16,2,3,0
14,17,88,22.05,0
6,16,3,4,0
14,17,84,26,0
6,17,1,5,0
11,15,1,15,0
1,15,1,15,0
8,16,1,1,0
14,17,100,28,0
14,17,200,39.93,0
14,17,98,20.12,0
14,17,108,12,0
3,16,24,44,0
2,17,1,2,0
2,17,1,2,0
6,16,8,21,0
13,14,1,5,0
16,16,1,2,0
17,16,2,6,0
14,17,6,10,0
1,18,4,1,0
14,1,1,8,0
5,16,2,5,0
5,16,1,2,0
6,16,18,49,0
6,16,1,2.72,0
6,16,1,2.9,0
6,16,10,29,0
13,16,1,1,0
6,16,17,47,0
1,10,2.74,5.26,0
1,14,1,1,0
8,16,3,4,0
4,11,1,1,0
11,12,1,1,0
5,9,1,1,0
5,9,2.25,3.75,0
14,16,72,144,0
5,16,22,54,0
3,11,2.58,10,0
3,11,0.93,3.67,0
10,17,1,2,0
14,16,28,56,0
11,13,11,9,0
3,15,1,5,0
3,15,1,5,0
3,15,1,5,0
3,16,2,3,0
2,15,1,2,0
1,16,9,2,0
3,17,5,11,0
15,16,4,5,0
3,15,1,2,0
6,16,1,2,0
13,16,6,7,0
6,16,2.06,3,0
15,16,4,5,0
3,16,1,2,0
3,16,2,3,0
13,16,4,3,0
9,14,4,5,0
15,16,4,6,0
7,17,3,9,0
4,17,1,2,0
5,16,1,3,0
14,16,2,3,0
3,16,3,8,0
15,17,9,2,0
6,16,2,3,0
3,17,2,5,0
3,16,1,3,0
3,17,2,5,0
3,16,2,3,0
4,16,1,3,0
3,16,2,3,0
3,16,2,3,0
3,17,2,5,0
6,16,1,3,0
3,16,1,3,0
13,16,6,7,0
3,15,1,5,0
3,15,1,5,0
3,15,1,5,0
3,15,1,5,0
3,15,1,5,0
3,15,1,5,0
3,15,1,5,0
3,15,1,5,0
3,15,1,5,0
14,16,1,2,0
4,16,1,3,0
4,16,1,3,0
4,16,1,3,0
4,16,1,3,0
5,16,2,3,0
5,16,2,3,0
5,16,1,3,0
10,14,6,5,0
3,16,1,1.836,0
3,16,1,1.76,0
2,15,1,2,0
3,17,5,11,0
11,17,1,1,0
11,17,1,1,0
11,17,1,1,0
3,17,5,11,0
2,15,1,2,0
3,16,1,1.863,0
1,14,4,9,0
14,1,9,4,0
3,17,2,5,0
3,15,2,5,0
11,2,1,1,0
2,11,1,1,0
5,16,1,3,0
13,11,1,1,0
13,3,1,3,0
1,14,7,3,0
5,10,1,3,0
10,4,1,1,0
10,5,3,1,0
1,14,4,9,0
2,15,1.5,3,0
15,1,2,4,0
10,16,3,2,0
10,3,1,1,0
3,16,1,1.765,0
4,16,1,3,0
13,16,5.8,7,0
9,14,4,5,0
5,16,1,3,0
10,5,3,1,0
3,16,1,3,0
3,16,1,3,0
4,16,1,3,0
2,15,1,6,0
4,16,1,2,0
4,9,1,1,0
4,9,1,1,0
4,10,1,1,0
5,16,2,5,0
3,14,1,1.85,0
2,12,1,2,0
3,15,2,5,0
8,16,1.068,1,0
3,14,5,4,0
3,17,2,5,0
4,11,1,1,0
8,16,1.05,1,0
13,10,5,1,0
7,14,5,3,0
8,16,1.11,1,0
8,16,1.12,1,0
3,15,2,5,0
15,16,4,6,0
14,17,84,22.33,0
3,16,1,3,0
14,1,5,10,0
15,16,2,3,0
3,14,4,7,0
16,16,1,2,0
4,10,1,1,0
14,1,1,4,0
14,1,1,4,0
14,16,1,1,0
4,9,1,1,0
8,14,4,1,0
8,1,1,4,0
7,15,1,2,0
1,2,1,1,0
6,1,1,3,0
2,14,2,3,0
1,18,1,4,0
12,16,1,1,0
5,16,1,2,0
4,17,1,1,0
3,17,7,10,0
15,17,1,1,0
15,17,1,1,0
13,8,4,3,0
6,13,3,4,0
13,8,5,6,0
3,10,3,2,0
3,17,1,4,0
10,13,23.98,18,0
6,15,1,2,0
3,17,1,3,0
4,10,2,7,0
14,17,1,2,0
6,17,1,2,0
3,16,2,3,0
11,15,2,3,0
3,10,10,21,0
13,16,1,1,0
3,17,2,3,0
3,17,2,3,0
9,17,1,3,0
5,15,4,3,0
3,17,1,3,0
5,16,12,26,0
7,16,5,8,0
5,15,1,2,0
15,16,2,3,0
6,16,3,4,0
8,16,3,4,0
1,14,8,3,0
5,14,6,5,0
3,16,2,3,0
6,17,1,3,0
9,17,1,3,0
3,17,2,3,0
8,14,6,5,0
2,15,1,3,0
2,15,1,3,0
6,17,1,2,0
1,14,2,1,0
5,16,3,4,0
9,17,1,3,0
5,16,2,5,0
5,16,2,1,0
6,17,1,5,0
