A,B,x,y,Chiral
1,16,2,4,0
6,17,3,8,0
14,16,24,48,0
3,14,6,11,0
14,1,1,4,0
9,15,1,2,0
9,15,1,2,0
13,15,1,1,0
9,14,1,4,0
1,15,1,1,0
14,1,1,4,0
15,16,2,3,0
15,17,1,3,0
11,13,1,2,0
7,17,1,4,0
8,15,1,2,0
10,13,5,1,0
14,16,1,2,0
1,16,2,2,0
2,16,1,2,0
8,16,1,4,0
14,17,1,2,0
3,9,5,2,0
14,17,1,4,0
13,16,2,5,0
15,16,2,5,0
3,17,6,13,0
15,16,4,4,0
7,15,1,4,0
2,16,1,2,0
3,11,1,6,0
5,16,3,7,0
6,15,1,4,0
17,17,1,5,0
15,16,6,5,0
4,15,3,1,0
15,16,4,4,0
15,16,4,7.9,0
10,15,6,1,0
3,17,1,5,0
16,17,1,4,0
5,16,6,1,0
2,16,1,2,0
3,17,1,4,0
6,16,1,1,0
5,16,2,5,0
7,17,1,3,0
14,16,1,2,0
1,16,2,1,0
11,16,1,1,0
5,16,12,29,0
10,13,4,3,0
10,15,5,2,0
16,17,1,4,0
11,16,1,1,0
6,17,1,3,0
3,17,1,4,0
5,15,1,4,0
4,17,1,4,0
5,16,2,9,0
10,15,1,2,0
15,16,9.8,15,0
1,17,1,1,0
8,15,1,4,0
7,14,5,2,0
14,17,1,4,0
1,16,1,6,0
15,16,2,4,0
3,17,1,4,0
6,17,2,5,0
15,16,1,1,0
16,15,5,6,0
4,17,1,4,0
6,16,9,26,0
15,16,4,4,0
8,16,7,8,0
15,16,4,8,0
8,14,5,2,0
12,15,6.2,4.8,0
1,14,1,1,0
10,13,5,2,0
1,16,1,2,0
13,16,2,3,0
9,16,1,2,0
2,14,1,2,0
3,14,2,2.94,0
5,16,2,5,0
3,17,1,4,0
2,14,1,2,0
2,14,1,2,0
10,15,1,2,0
2,15,1,2,0
3,17,8,17,0
13,16,2,1,0
14,17,1,4,0
15,15,3,5,0
6,17,1,4,0
1,15,3,11,0
15,1,2,3,0
5,16,2,3,0
3,13,2,5,0
11,2,2,5,0
5,15,3,1,0
3,14,1,2,0
5,16,3,5,0
4,16,3,5,0
4,17,1,3,0
3,14,1,1.97,0
3,8,5,2,0
9,3,2,5,0
6,15,1,4,0
10,3,7,4,0
14,10,9,13,0
13,17,4,7,0
4,17,1,4,0
3,17,1,4,0
4,17,1,4,0
3,17,1,4,0
17,16,2,7,0
11,14,6,5,0
3,13,3,2,0
3,11,1,6,0
3,11,1,6,0
2,10,5,2,0
2,10,5,2,0
3,9,5,2,0
3,9,5,2,0
3,9,5,2,0
3,9,5,2,0
3,8,5,2,0
3,10,5,2,0
3,10,5,2,0
3,9,5,2,0
3,9,5,2,0
3,8,5,2,0
3,9,5,2,0
3,8,5,2,0
3,9,5,2,0
3,9,5,2,0
3,9,5,2,0
3,9,5,2,0
3,9,5,2,0
3,9,5,2,0
3,9,5,2,0
3,8,5,2,0
3,8,5,2,0
10,14,13,9,0
3,10,5,2,0
3,8,5,2,0
3,10,5,2,0
3,8,5,2,0
3,8,5,2,0
3,8,5,2,0
3,8,5,2,0
3,16,1,2,0
13,16,2,3,0
8,16,1,4,0
12,15,6.03,5,0
14,1,1,4,0
14,17,90,32,0
15,16,2,4,0
14,16,64,128,0
3,13,2,5,0
18,17,1,6,0
5,16,2,5,0
15,16,2,2.085,0
15,16,2,2.11,0
15,16,2,2.066,0
15,16,2,2.155,0
15,16,2,2.19,0
13,6,64.5,12.5,0
14,16,56,112,0
14,17,6,12,0
14,17,76,29.3,0
15,16,2,3,0
14,17,50,10,0
14,17,80,12,0
14,17,1,4,0
3,10,5,1.94,0
7,13,122.9,137.1,0
1,14,4,4,0
3,14,1,2,0
14,17,90,32.21,0
14,17,90,32.12,0
14,17,96,24.12,0
10,13,1,0.184,0
14,17,88,22.55,0
8,16,1.95,3,0
5,16,1,4,0
14,17,94,21.67,0
14,17,100,28.7,0
14,17,100,29.4,0
2,17,1,2,0
2,17,1,2,0
14,16,1,2,0
3,17,1,4,0
10,15,11,8,0
2,16,1,1,0
14,1,1,4,0
10,13,16,3,0
13,16,2,3,0
2,16,1,2,0
5,16,7.3,11.32,0
16,17,1,2,0
3,14,1,1.16,0
3,14,2,3.333,0
15,16,2,3,0
8,15,4,1,0
5,16,4,1,0
5,16,1,1,0
12,4,2,3,0
13,4,2.5,1.5,0
14,16,72,144,0
3,14,3,6.97,0
4,9,1,7,0
14,16,1,2,0
3,16,0.76,1,0
4,1,1,0.66,0
5,1,1,0.89,0
14,16,1,2,0
5,1,4,2.88,0
5,16,2,5,0
14,16,1,2,0
13,10,1,2,0
5,15,2,1,0
3,14,1,1.891,0
3,16,2,5,0
1,16,2,1,0
16,17,0.875,0.125,0
11,12,1,1,0
15,10,1,3,0
12,2,1,1,0
13,10,1,2,0
9,6,1,1,0
9,5,1,1,0
9,6,1,1,0
5,9,1,1,0
14,16,1,2,0
11,12,1.05,0.95,0
11,4,1,1,0
9,5,1,1,0
9,5,1.2,0.8,0
6,10,1,1,0
5,10,1,1,0
9,5,1.1,0.9,0
10,4,1,1,0
10,4,1,1,0
10,5,1,1,0
6,9,1,1,0
5,15,2,1,0
9,13,5,16,0
2,17,1,2,0
3,1,1,0.333,0
10,4,1,1,0
4,10,1,1,0
4,10,1,1,0
4,9,1,1,0
8,16,3,4,0
1,13,1,1,0
13,17,2,4,0
13,17,2,4,0
13,13,1,1,0
13,13,1,1,0
8,3,25,44,0
12,15,3,2,0
15,2,3,2,0
3,8,44,25,0
3,8,44,25,0
3,8,44,25,0
8,3,25,44,0
3,8,44,25,0
3,8,44,25,0
2,15,2,3,0
8,14,4,0.63,0
2,14,1,5,0
14,16,56,112,0
5,16,2,5,0
17,17,0.95,6.65,0
17,17,0.986,6.9,0
14,16,1,2,0
5,16,16.8,42,0
14,16,3,4,0
5,15,8,5,0
13,2,2,1,0
14,15,1,2,0
1,14,7,2,0
6,16,32,84,0
17,15,1,3,0
6,16,1,2.625,0
2,15,4,3,0
6,16,3,8,0
1,16,2,2,0
1,16,2,2,0
2,15,4,3,0
4,16,9,2,0
9,14,5,3,0
14,15,1,2,0
9,14,5,3,0
8,13,11,8,0
4,15,8,5,0
13,10,3,5,0
13,10,3,5,0
13,3,7,2,0
12,3,7,6,0
13,10,3,5,0
13,10,2.7,5.3,0
4,9,3,5,0
10,14,1,1,0
10,12,7,12,0
9,4,5,3,0
16,16,1,2,0
14,15,1,2,0
10,13,5,3,0
13,10,5.4,10.6,0
13,10,3,5,0
8,14,5,3,0
1,14,13,4,0
3,13,1,13.7,0
5,17,1,5,0
8,13,2,7,0
2,15,4,3,0
14,16,1,2,0
9,14,5,3,0
13,3,1,1,0
1,16,2,2,0
1,15,6,1,0
15,16,2,3,0
13,1,18,22,0
5,17,6,11,0
15,16,2,3,0
15,16,4,4.93,0
14,16,1,2,0
15,17,1,5,0
14,16,1,1,0
5,16,2,1,0
7,16,3,4,0
1,16,2,1,0
8,16,3,4,0
1,16,4,16,0
3,14,0.973,1,0
1,16,2,13,0
4,16,1,2,0
4,16,1,2,0
13,17,1,1,0
13,3,1,1,0
1,14,8,6.67,0
13,3,1,1,0
13,3,1,1,0
13,3,1,1,0
13,4,1,1,0
12,1,7,5,0
3,13,1,1,0
13,3,1,1,0
3,13,1,1,0
3,13,1,1,0
3,13,1,1,0
3,13,1,1,0
3,13,1,1,0
3,13,1,1,0
3,13,1,1,0
3,13,1,1,0
3,13,1,1,0
6,17,1,5,0
3,13,1,1,0
1,15,1,7,0
14,16,56,112,0
8,14,2,1,0
11,16,1,2,0
8,15,1,2,0
8,15,1,2,0
8,15,1,2,0
8,15,1,2,0
15,17,1,1.167,0
9,3,2,3,0
13,16,4,3,0
10,16,1,2,0
15,17,12,14,0
10,13,2,1,0
2,17,1,2,0
13,16,4,3,0
8,15,1,2,0
4,16,2,1,0
4,17,7,16,0
4,17,7,16,0
6,17,1,2,0
13,16,1,1,0
6,15,0.4,2,0
9,15,2,1,0
9,14,2,1,0
8,15,1,2,0
8,15,1,2,0
10,17,1,2,0
4,15,2,1,0
1,16,1,2,0
4,15,1,2,0
9,16,1,2,0
8,16,1,2,0
8,16,1,2,0
8,16,1,2,0
2,17,1,2,0
10,17,1,2,0
4,15,14,9,0
10,17,1,2,0
14,13,1.04,5.82,0
4,16,2,1,0
4,15,1,2,0
4,15,1,2,0
8,15,1,2,0
2,14,2,3,0
1,14,0.91,60,0
14,16,1,2,0
8,16,1,2,0
13,16,1,0.951,0
4,16,2,1,0
8,16,1,2,0
10,15,1,2,0
6,15,1,2,0
8,15,1,2,0
10,15,1,2,0
9,16,1,2,0
4,15,1,2,0
4,16,2,1,0
5,15,2,1,0
10,14,1,2,0
1,14,1,60,0
8,14,2,1,0
10,17,1,2,0
13,16,2,1,0
9,15,1,2,0
3,17,1,2,0
16,16,10.5,1.5,0
14,16,1,2,0
2,17,1,2,0
14,16,36,72,0
10,15,2,1,0
13,11,1,2,0
14,16,1,2,0
7,15,1,0.484,0
9,15,1,2,0
11,15,1,2,0
4,15,2,1,0
5,15,2,1,0
4,15,14,9,0
4,15,1,2,0
11,16,1,2,0
14,10,2,1,0
13,16,2,1,0
7,16,1,2,0
14,16,1,2,0
11,12,3.25,0.75,0
6,16,1,2,0
13,1,1,3,0
6,13,1,4,0
15,17,6,7,0
15,17,6,7,0
13,1,1,3,0
4,15,0.951,2,0
10,16,1,2,0
7,13,1,4,0
8,13,1,4,0
8,15,1,2,0
10,15,1,2,0
9,15,1,2,0
9,15,1,2,0
11,15,1,2,0
10,16,1,2,0
1,16,1,2,0
4,16,1,2,0
10,15,1,2,0
8,15,1,2,0
16,14,2,1,0
5,15,2,1,0
14,14,1,2,0
11,14,3,1,0
6,17,1,3,0
13,15,1,1,0
5,16,2,5,0
8,17,1,3,0
8,13,1,2,0
4,17,1,3,0
11,14,3,1,0
11,16,1,1,0
8,13,1,2,0
11,15,3,1,0
7,15,3,1,0
3,14,2,5,0
6,15,1,1,0
11,15,3,1,0
11,16,2.86,2,0
15,17,1,5,0
11,3,3,1,0
11,3,3,1,0
11,3,3,1,0
11,14,3,1,0
6,10,1,3,0
5,10,1,3,0
5,10,1,3,0
10,5,3,1,0
10,5,3,1,0
8,17,1,3,0
11,4,3,1,0
12,16,1,1,0
3,11,1,3,0
3,11,1,3,0
3,11,1,3,0
3,11,1,3,0
4,11,1,3,0
3,11,1,3,0
11,13,3,1,0
3,11,1,3,0
3,11,1,3,0
11,3,3,1,0
3,11,1,3,0
3,11,1,3,0
3,11,1,3,0
4,11,1,3,0
15,11,1,3,0
10,6,3,1,0
10,5,3,1,0
10,5,3,1,0
10,15,3,1,0
10,14,3,1,0
4,17,1,3,0
14,16,1,2,0
3,14,2,5,0
3,17,1,3,0
3,14,2,5,0
10,14,1,1,0
8,16,1.12,1,0
8,16,1.15,1,0
13,3,1,1,0
7,17,1,3,0
3,14,2,9,0
10,8,3,1,0
14,1,6,1,0
8,13,1,4,0
6,14,2,1,0
8,14,2,3,0
8,14,2,3,0
5,14,2,1,0
4,16,1,2,0
15,16,4,6.78,0
9,16,2,3,0
12,17,1,2,0
7,17,1,2,0
9,16,2,3,0
7,16,1,2,0
6,16,5,12,0
14,16,1,2,0
3,16,2,5,0
1,15,3,11,0
1,15,3,11,0
1,15,3,11,0
1,15,3,11,0
14,16,0.98,2,0
14,16,0.828,2,0
14,16,0.866,2,0
1,16,2,2,0
14,16,1,2,0
8,15,2,0.94,0
7,15,2,1,0
6,14,2,1,0
6,16,1,3,0
2,1,1,2,0
3,16,2,5,0
14,16,1,1,0
2,17,1,2,0
3,17,1,2,0
16,15,4,4,0
14,16,1,2,0
8,16,2,3,0
14,16,1,2,0
14,16,1,2,0
7,15,1,0.457,0
8,14,2,3,0
14,8,3,2,0
2,1,1,2,0
9,16,2,3,0
8,14,2,3,0
1,15,3,11,0
9,16,2,3,0
3,16,2,5,0
3,16,2,5,0
13,16,2,3,0
8,15,2,1,0
14,17,96,24.08,0
13,16,2,3,0
11,14,2,1,0
2,15,3,2,0
8,14,2,3,0
15,16,2,3,0
10,16,1,2,0
6,16,1,2,0
4,16,1,2,0
12,15,1,1,0
12,15,1,1,0
3,17,1,2,0
3,17,1,2,0
11,17,1,2,0
7,15,1,4,0
9,16,2,3,0
13,17,2,4,0
2,17,1,2,0
4,16,1,2,0
15,14,1,1,0
7,16,2,7,0
10,16,1,2,0
10,16,1,2,0
7,16,2,3,0
10,17,1,4,0
12,16,1,2,0
7,17,1,4,0
10,15,1,1,0
13,1,8,12,0
10,15,1,2,0
16,16,1,2,0
7,15,1,4,0
7,16,2,5,0
8,17,1,4,0
17,16,1,2,0
4,16,1,2,0
3,14,2.75,60,0
5,16,2,2.2,0
12,15,1,1,0
3,17,1,2,0
7,16,6,15,0
3,14,2.75,60,0
3,17,1,2,0
3,17,1,2,0
12,15,1,1,0
1,15,3,7,0
1,15,3,7,0
1,15,3,7,0
1,15,3,7,0
11,2,3,7,0
11,14,1,2,0
15,10,2,1,0
10,4,10,7,0
14,17,60,6,0
4,16,1,2,0
2,1,1,2,0
3,16,1,2,0
14,17,76,28.68,0
11,15,1,3,0
4,16,1.67,3,0
12,15,0.96,1,0
7,17,1,4,0
7,16,6,15,0
14,17,96,23.23,0
3,17,1,2,0
14,17,94,20,0
7,16,1,2,0
12,15,0.92,1,0
13,16,2,3,0
14,16,1,2,0
14,16,1,2,0
9,14,1,4,0
7,17,1,4,0
2,14,2,3,0
14,15,3,4,0
15,3,3,5,0
16,17,1,4,0
16,17,2,1,0
16,17,2,1,0
6,17,1,6,0
3,17,1,6,0
11,4,8,3,0
3,16,2,3,0
2,14,2,1,0
10,14,3,2,0
3,9,5,4,0
8,15,1,1,0
9,15,1,1,0
1,16,2,1,0
2,1,1,2,0
15,17,1,3,0
15,4,3,5,0
3,16,1,2,0
14,16,1,1,0
3,10,1,1,0
2,15,5,3,0
2,15,5,3,0
3,10,2,1,0
3,9,3,1,0
3,10,5,4,0
10,14,1,1,0
10,14,1,1,0
3,16,3,5,0
15,17,1,3,0
3,9,3,1,0
3,10,3,1,0
15,17,1,3,0
7,15,1,1,0
3,17,1,3,0
3,17,1,3,0
5,17,1,5,0
13,17,1,3,0
15,16,2,4,0
10,3,1,1,0
14,17,1,2,0
3,16,3,4,0
3,14,1,1,0
10,14,1,1,0
5,16,4,9,0
2,14,1,2,0
3,16,2,3,0
13,13,3,1,0
5,16,0.92,1,0
9,14,1,1,0
2,17,1,2,0
2,17,1,2,0
2,17,1,2,0
3,16,3,4,0
6,16,4,11,0
2,17,1,2,0
5,15,5,3,0
15,16,2,5,0
3,1,1,2,0
15,16,2,3,0
15,16,4,3,0
9,16,1,2,0
6,14,1,2,0
14,16,1,1,0
14,16,1,1,0
17,17,1,3,0
15,17,1,3,0
14,17,1,2,0
11,16,7,4,0
8,14,3,1,0
12,16,1,1,0
15,16,4,3,0
14,17,1,2,0
6,14,3,2,0
3,15,3,2,0
13,17,2,3,0
4,15,1,2,0
3,17,1,2,0
1,17,1,3,0
3,16,2,3,0
10,15,3,0.8,0
12,17,1,2,0
5,15,2,5,0
2,13,1,4,0
3,16,3,5,0
3,14,5,4,0
3,14,1,1,0
6,15,1,1,0
2,1,1,2,0
10,13,3,1,0
10,13,4,3,0
4,15,1,2,0
4,15,1,2,0
9,14,3,4,0
10,14,2,1,0
9,13,2,1,0
4,13,1,1,0
2,14,2,1,0
2,14,2,1,0
9,15,2,1,0
5,16,14,5,0
3,15,5,3,0
5,16,0.9,1,0
3,14,1,1,0
3,16,1,2,0
1,17,1,3,0
15,17,1,3,0
15,17,1,3,0
7,16,1,2,0
15,16,2,3,0
5,16,1,2,0
14,16,1,1,0
15,17,1,7,0
15,16,4,3,0
3,16,2,5,0
8,14,4,3,0
7,15,1,1,0
8,13,1,1,0
9,13,1,1,0
10,14,1,1,0
3,1,1,1.98,0
7,14,7,3,0
8,14,7,3,0
3,14,1,1,0
3,16,2,3,0
3,16,2,3,0
3,16,2,3,0
3,16,1,2,0
2,1,1,2,0
8,15,1,1,0
7,15,1,3,0
4,15,3,2,0
14,17,1,2,0
3,14,1,1,0
3,16,1,2,0
1,16,2,5,0
5,15,5,3,0
1,16,2,1,0
6,16,1,3,0
8,16,1,1,0
15,16,2,3,0
7,15,2,1,0
15,16,2,3,0
3,17,1,2,0
1,17,1,3,0
13,17,1,3,0
3,1,1,1.9,0
2,1,1,2,0
2,1,1,2,0
8,15,1,1,0
3,16,2,3,0
9,15,1,1,0
7,14,11,8,0
2,17,1,2,0
3,15,5,3,0
3,15,3,2,0
1,14,12,7,0
3,16,1,5,0
6,15,4,3,0
5,17,1,5,0
3,14,1,1,0
2,1,1,2,0
10,14,9,2,0
3,16,2,3,0
16,17,1,6,0
3,14,5,4,0
14,16,12,24,0
3,16,2,3,0
3,16,2,3,0
3,16,2,3,0
6,16,1,2,0
4,16,1,2,0
9,14,1,1,0
4,16,1,2,0
4,17,1,4,0
4,15,3,4,0
3,16,2,3,0
9,16,1,2,0
5,16,2,5,0
3,16,2,3,0
3,17,1,3,0
3,16,1,2,0
3,16,2,3,0
14,17,2,6,0
4,16,1,2,0
3,14,5,4,0
6,17,0.93,1.77,0
6,17,1,5,0
2,14,1,2,0
8,14,3.71,3,0
3,16,2,3,0
10,15,3,1,0
8,17,1,6,0
10,17,1,6,0
3,16,2,3,0
2,17,1,2,0
14,16,96,192,0
5,15,5,3,0
2,17,1,2,0
3,17,1,2,0
3,16,2,3,0
3,16,2,1,0
2,14,2,4,0
3,16,3,4,0
3,14,5,4,0
2,14,2,1,0
4,15,5,3,0
2,16,1,1,0
6,15,1,1,0
6,14,11,8,0
2,14,2,1,0
3,16,1,2,0
9,15,1,1,0
8,15,1,1,0
10,14,2,1,0
9,14,3,4,0
10,14,2,3,0
4,15,1,2,0
3,14,1,1,0
3,14,1,1,0
9,15,2,1,0
2,14,1,2,0
6,15,1,1,0
9,15,1,1,0
4,14,1,1,0
10,13,3,1,0
9,14,3,1,0
8,14,2,1,0
4,16,1,0.95,0
8,15,2,1,0
9,15,1.94,1,0
10,15,3,0.95,0
10,14,3,1,0
9,15,4,3,0
3,14,1,1,0
6,15,5,3,0
5,15,1,1,0
5,15,4.95,3,0
5,15,5,3,0
9,13,3,1,0
6,14,7,3,0
4,15,5,3,0
3,14,1,1,0
3,1,1,2,0
9,14,2,1,0
9,14,2,1,0
9,14,1,1,0
6,15,1,1,0
7,16,1,1,0
3,15,5,3,0
4,14,5,4,0
3,14,5,4,0
9,14,1,1,0
10,14,1,1,0
10,14,1,1,0
7,13,1,1,0
4,16,2,1,0
3,16,3,5,0
1,15,1,5,0
4,14,1,1,0
17,17,1,3,0
14,17,1,2,0
3,16,2,3,0
3,16,2,1,0
2,17,1,2,0
2,14,2,1,0
1,16,2,3,0
4,16,1,1,0
1,16,2,1,0
1,15,4,2,0
14,16,3,2,0
4,15,5,2.85,0
3,17,7,15,0
13,17,2,3,0
3,17,7,15,0
5,16,1,1,0
4,15,1,1.96,0
4,15,5,3,0
2,15,5,4,0
2,15,5,3,0
5,15,2,1,0
10,14,3,1,0
3,14,5,4,0
10,14,2,1,0
3,16,2,3,0
11,17,1,5,0
3,14,2,1,0
1,16,2,1,0
6,16,1,1,0
1,14,2,2,0
1,14,2,2,0
14,16,0.9717,2,0
14,1,13,10,0
13,3,1,2,0
13,10,3,1,0
13,10,1,2,0
13,10,1,2,0
3,14,5,4,0
2,14,7,6,0
3,17,1,3,0
3,14,5,4,0
3,16,1,1.96,0
3,11,1,1,0
2,15,5,4,0
3,14,2,1,0
3,14,2,1,0
3,14,1,1,0
13,3,1,2,0
11,3,1,1,0
11,2,1,1,0
11,3,1,1,0
11,2,1,3,0
11,13,1,1,0
11,3,1,2,0
11,2,1,2,0
11,3,1,2,0
11,3,1,2,0
11,3,4,5,0
11,4,4,1,0
2,14,2,1,0
2,14,2,1,0
15,10,3,1,0
15,9,3,1,0
2,11,1,1,0
2,14,2,1,0
2,14,2,1,0
3,11,1,1,0
3,11,1,6,0
3,9,5,4,0
3,9,5,4,0
3,17,1,3,0
6,16,1,3,0
6,17,1,6,0
3,17,1,3,0
4,14,1,1,0
5,16,1,0.9,0
9,14,2,1,0
4,15,5,3,0
3,17,1,3,0
4,16,2,1,0
13,11,1,2,0
9,3,1,3,0
9,14,2.9,2,0
11,3,6,1,0
11,3,6,1,0
11,3,1,1,0
3,10,1,1,0
3,10,2,1,0
3,10,1,1,0
3,12,1,3,0
3,14,2,1,0
13,1,13,7,0
13,1,39,22,0
13,10,1,2,0
13,3,1,2,0
13,3,1,1,0
13,3,5,3,0
3,10,3,1,0
3,10,1,1,0
3,10,2,1,0
9,3,1,3,0
11,3,6,1,0
11,3,6,1,0
3,9,3,1,0
13,10,2,5,0
13,3,1,2,0
12,2,1,2,0
3,12,1,3,0
9,3,4,5,0
3,14,5,4,0
1,14,14.8,4,0
10,14,3,2,0
10,14,2.7,2,0
10,3,1,3,0
10,3,1,1,0
10,3,1,1,0
10,3,1,1,0
14,2,1,2,0
14,3,4,5,0
14,3,1,2,0
10,3,1,1,0
10,14,1,1,0
10,3,1,1,0
10,2,3,7,0
10,3,1,2,0
10,3,1,2,0
10,3,1,1,0
9,14,2,1,0
9,4,1,1,0
14,2,1,2,0
2,12,1,5,0
3,12,1,3,0
3,14,5,4,0
3,14,5,4,0
14,16,2,3,0
13,9,3,1,0
1,15,1,5,0
3,14,5,4,0
3,16,2,3,0
10,3,1,1,0
13,7,2.91,1.09,0
3,8,3,1,0
11,2,1,1,0
3,14,1,1,0
3,14,5,4,0
3,13,2,1,0
3,10,1,1,0
2,13,2,1,0
9,13,13,45,0
15,16,4.76,0.25,0
15,16,4.68,0.3125,0
4,15,10.88,7.74,0
4,15,10.84,7.73,0
3,12,13,57,0
9,15,1,3,0
3,14,5,4,0
3,13,3,5,0
3,14,5,4,0
3,9,3,1,0
3,14,3,1,0
3,10,3,1,0
3,9,3,1,0
3,8,3,1,0
7,14,3,1,0
6,14,3,1,0
9,15,2,1,0
3,1,1,2,0
3,11,1,6,0
2,11,1,1,0
3,13,2,1,0
3,13,2,1,0
13,3,1,2,0
3,13,2,1,0
10,13,1,3,0
3,13,2,1,0
3,13,2,1,0
3,13,2,1,0
4,15,3,2,0
4,15,5,3,0
15,16,4,3,0
3,15,1,2,0
4,15,5,3,0
3,15,1,2,0
4,15,3,2,0
11,2,1,1,0
11,3,1,2,0
11,3,1,1,0
11,3,1,2,0
11,3,1,2,0
11,3,1,1,0
3,11,3,1,0
11,3,1,2,0
4,11,1,4,0
11,3,1,2,0
11,3,1,1,0
11,3,1,2,0
11,3,1,2,0
11,3,1,1,0
11,3,1,1,0
11,3,1,2,0
11,3,1,1,0
11,3,1,2,0
11,3,1,2,0
11,3,1,1,0
3,11,5,4,0
9,13,3,0.75,0
8,13,3,1,0
3,15,5,3,0
3,15,5,3,0
3,15,5,3,0
3,15,5,3,0
3,15,5,3,0
2,15,5,3,0
3,15,5,3,0
3,15,5,3,0
3,15,5,3,0
2,12,2,1,0
2,12,3,1,0
2,10,3,1,0
3,14,1,1,0
3,14,5,4,0
3,9,3,1,0
3,8,3,1,0
3,14,5,4,0
3,12,1,3,0
3,16,2,3,0
3,16,2,3,0
3,9,3,1,0
3,9,3,1,0
3,9,3,1,0
9,14,2,1,0
3,9,3,1,0
3,9,3,1,0
3,9,3,1,0
3,9,3,1,0
3,9,3,1,0
9,14,3,2,0
3,9,3,1,0
3,9,3,1,0
3,9,3,1,0
1,16,2,1,0
11,3,1,1,0
3,11,2,1,0
3,11,1,6,0
11,3,1,1,0
3,11,1,6,0
11,3,1,1,0
3,11,1,6,0
11,3,1,1,0
3,11,1,6,0
3,11,1,6,0
11,3,1,1,0
3,11,1,6,0
4,11,1,4,0
11,4,4,1,0
11,4,8,3,0
4,11,3,8,0
3,13,2,3.33,0
3,13,3,5,0
3,14,5,4,0
3,9,3,1,0
3,10,3,1,0
3,8,3,1,0
3,14,5,4,0
3,10,1,1,0
3,10,2,1,0
3,10,5,4,0
3,10,3,1,0
3,10,1,1,0
3,9,3,1,0
3,8,3,1,0
3,14,1,1,0
3,14,5,4,0
3,14,5,4,0
3,13,2,3.33,0
3,14,5,4,0
3,9,3,1,0
3,10,3,1,0
3,8,3,1,0
3,14,5,4,0
3,10,5,4,0
3,10,3,1,0
3,10,1,1,0
3,8,3,1,0
3,16,2,3,0
3,14,1,1,0
3,12,1,3,0
3,1,1,2,0
3,10,5,4,0
3,9,3,1,0
3,16,2,3,0
3,15,5,3,0
8,16,3,1,0
3,13,2,3.33,0
3,13,3,5,0
3,13,2,3.33,0
3,13,3,5,0
3,13,2,3.33,0
3,13,2,3.33,0
3,13,3,5,0
3,13,2,3.33,0
3,13,2,3.33,0
3,13,3,5,0
3,13,2,1,0
3,9,3,1,0
3,10,1,1,0
3,8,3,1,0
3,14,5,4,0
3,10,3,1,0
3,9,3,1,0
3,9,5,4,0
3,8,3,1,0
3,14,5,4,0
3,12,1,3,0
3,14,5,4,0
3,14,1,1,0
14,10,1,1,0
14,10,3,2,0
14,9,1,2,0
14,9,1,1,0
3,14,5,4,0
14,16,1,1,0
3,14,5,4,0
5,14,11,8,0
6,14,1,2,0
3,14,5,4,0
4,14,1,1,0
4,15,1,2,0
2,12,3,1,0
3,9,3,1,0
3,10,3,1,0
3,8,3,1,0
3,14,5,4,0
3,10,1,1,0
3,10,2,1,0
3,10,5,4,0
3,10,3,1,0
3,10,1,1,0
3,8,3,1,0
3,14,1,1,0
13,10,1,2,0
3,9,3,1,0
3,9,3,1,0
3,9,3,1,0
9,14,2,1,0
3,9,3,1,0
3,9,3,1,0
3,9,3,1,0
3,8,3,1,0
3,9,5,4,0
3,8,7,3,0
3,10,1,1,0
3,8,3,1,0
3,10,2,1,0
3,10,5,4,0
3,10,3,1,0
3,10,1,1,0
3,8,3,1,0
3,16,2,3,0
3,12,1,3,0
2,14,2,1,0
3,10,3,1,0
3,8,3,1,0
3,14,5,4,0
3,10,1,1,0
3,9,5,4,0
3,9,4,1,0
3,8,3,1,0
3,8,7,3,0
3,14,5,4,0
3,14,5,4,0
3,12,1,3,0
3,10,3,1,0
10,14,3,1,0
3,10,3,1,0
10,14,3.3,2,0
3,10,3,1,0
3,10,3,1,0
3,10,3,1,0
10,3,1,1,0
3,16,3,5,0
3,16,3,4,0
3,8,3,1,0
3,8,3,1,0
3,8,3,1,0
3,8,3,1,0
3,8,3,1,0
7,15,1,3,0
8,15,1,1,0
3,15,3,1,0
3,15,1,2,0
3,14,5,4,0
14,16,1,1,0
14,16,1,1,0
3,14,5,4,0
2,14,5,4,0
3,14,5,4,0
14,16,1,1,0
3,14,5,4,0
10,3,1,1,0
10,13,2,1,0
3,10,3,1,0
10,3,1,1,0
3,10,3,1,0
10,12,2,1,0
3,10,1,1,0
3,8,3,1,0
3,8,7,3,0
3,14,5,4,0
3,12,1,3,0
10,3,1,1,0
2,10,5,4,0
2,10,7,3,0
3,10,5,4,0
3,10,3,1,0
10,3,1,2,0
3,10,5,4,0
3,10,3,1,0
10,3,1,1,0
10,3,1,2,0
10,3,1,1,0
3,10,5,4,0
10,3,1,2,0
3,16,2,3,0
3,14,1,1,0
9,16,1,2,0
3,9,5,4,0
9,3,4,5,0
3,9,3,1,0
9,5,2,1,0
3,9,3,1,0
3,9,3,1,0
3,8,3,1,0
3,8,3,1,0
3,8,3,1,0
3,8,3,1,0
3,16,2,3,0
3,16,2,3,0
3,15,5,3,0
3,16,2,3,0
4,16,1,1,0
3,16,2,3,0
3,14,1,1,0
3,14,5,4,0
3,14,5,4,0
3,14,5,4,0
3,14,5,4,0
3,16,2,3,0
3,12,1,3,0
3,14,5,4,0
14,16,1,1,0
3,14,5,4,0
