Table No.,ICSD No.,Space Group,Struct.formula,,元素1,元素1数,族1,周期1,,元素2,元素2数,族2,周期2,晶系,,
92,670928,P 41 21 2,O2 Si,O2,O,2,16,2,Si,Si,1,14,3,Tetragonal,,t
95,153253,P 41 2 2,Si64 O128,Si64,Si,64,14,3,O128,O,128,16,2,Tetragonal,,
95,170550,P 43 2 2,Si O2,Si,Si,1,14,3,O2,O,2,16,2,Tetragonal,,t
96,1091,P 43 21 2,Al3.24 B44,Al3.24,Al,3.24,13,3,B44,B,44,13,2,Tetragonal,,
96,1459,P 43 21 2,Al1.67 B22,Al1.67,Al,1.67,13,3,B22,B,22,13,2,Tetragonal,,
96,16500,P 43 21 2,Cd P2,Cd,Cd,1,12,5,P2,P,2,15,3,Tetragonal,,
96,16550,P 43 21 2,Cu2 S,Cu2,Cu,2,11,4,S,S,1,16,3,Tetragonal,,
96,34889,P 43 21 2,Si O2,Si,Si,1,14,3,O2,O,2,16,2,Tetragonal,,
96,35643,P 43 21 2,Fe21.333 O32,Fe21.333,Fe,21.333,8,4,O32,O,32,16,2,Tetragonal,,
96,62897,P 43 21 2,Te O2,Te,Te,1,16,5,O2,O,2,16,2,Tetragonal,,
96,87121,P 43 21 2,Fe1.966 O2.963,Fe1.966,Fe,1.966,8,4,O2.963,O,2.963,16,2,Tetragonal,,
96,250014,P 43 21 2,Zn P2,Zn,Zn,1,12,4,P2,P,2,15,3,Tetragonal,,
96,612546,P 43 21 2,Be B6,Be,Be,1,2,2,B6,B,6,13,2,Tetragonal,,
96,424098,P 43 21 2,Ba3 Sn2,Ba3,Ba,3,2,6,Sn2,Sn,2,14,5,Tetragonal,,
96,165,P 41 21 2,Mn5 Si2,Mn5,Mn,5,7,4,Si2,Si,2,14,3,Tetragonal,c,
96,1079,P 41 21 2,Mg As4,Mg,Mg,1,2,3,As4,As,4,15,4,Tetragonal,c,
96,1287,P 41 21 2,Ni2 Y3,Ni2,Ni,2,10,4,Y3,Y,3,3,5,Tetragonal,c,
96,10015,P 41 21 2,As2 O5,As2,As,2,15,4,O5,O,5,16,2,Tetragonal,c,
96,14195,P 41 21 2,Sn F2,Sn,Sn,1,14,5,F2,F,2,17,2,Tetragonal,c,
96,16817,P 41 21 2,H2 O,H2,H,2,1,1,O,O,1,16,2,Tetragonal,c,
96,20357,P 41 21 2,Zr5 Si4,Zr5,Zr,5,4,5,Si4,Si,4,14,3,Tetragonal,c,
96,23783,P 41 21 2,Ge O2,Ge,Ge,1,14,4,O2,O,2,16,2,Tetragonal,c,
96,28067,P 41 21 2,D2 O2,D2,D,2,1,1,O2,O,2,16,2,Tetragonal,c,
96,23704,P 41 21 2,D2 O,D2,D,2,1,1,O,O,1,16,2,Tetragonal,c,
96,30602,P 41 21 2,H O2 H,H,H,1,1,1,O2,O,2,16,2,Tetragonal,c,
96,34253,P 41 21 2,H2 O2,H2,H,2,1,1,O2,O,2,16,2,Tetragonal,c,
96,35331,P 41 21 2,Al B12,Al,Al,1,13,3,B12,B,12,13,2,Tetragonal,c,
96,34853,P 41 21 2,Ni11 As8,Ni11,Ni,11,10,4,As8,As,8,15,4,Tetragonal,c,
96,60761,P 41 21 2,Pt3 I8,Pt3,Pt,3,10,6,I8,I,8,17,5,Tetragonal,c,
96,40428,P 41 21 2,Zn P4,Zn,Zn,1,12,4,P4,P,4,15,3,Tetragonal,c,
96,78162,P 41 21 2,Tl2 S2,Tl2,Tl,2,13,6,S2,S,2,16,3,Tetragonal,c,
96,70048,P 41 21 2,Fe21.34 O32,Fe21.34,Fe,21.34,8,4,O32,O,32,16,2,Tetragonal,c,
96,410107,P 41 21 2,Br7 In5,Br7,Br,7,17,4,In5,In,5,13,5,Tetragonal,c,
96,43080,P 41 21 2,Ti5 Si4,Ti5,Ti,5,4,4,Si4,Si,4,14,3,Tetragonal,c,
96,53043,P 41 21 2,Hf5 Si4,Hf5,Hf,5,4,6,Si4,Si,4,14,3,Tetragonal,c,
96,94986,P 41 21 2,La5 Si4,La5,La,5,3,6,Si4,Si,4,14,3,Tetragonal,c,
96,94987,P 41 21 2,Nd5 Si4,Nd5,Nd,5,3,6,Si4,Si,4,14,3,Tetragonal,c,
96,95099,P 41 21 2,Pr5 Si4,Pr5,Pr,5,3,6,Si4,Si,4,14,3,Tetragonal,c,
96,98406,P 41 21 2,C O2,C,C,1,14,2,O2,O,2,16,2,Tetragonal,c,
96,614665,P 41 21 2,Li B11,Li,Li,1,1,2,B11,B,11,13,2,Tetragonal,c,
96,622142,P 41 21 2,Ce5 Si4,Ce5,Ce,5,3,6,Si4,Si,4,14,3,Tetragonal,c,
96,638154,P 41 21 2,Zr5 Ge4,Zr5,Zr,5,4,5,Ge4,Ge,4,14,4,Tetragonal,c,
96,172906,P 41 21 2,Fe2 O3,Fe2,Fe,2,8,4,O3,O,3,16,2,Tetragonal,c,
96,174241,P 41 21 2,Mg4.8 B44,Mg4.8,Mg,4.8,2,3,B44,B,44,13,2,Tetragonal,c,
96,260701,P 41 21 2,Mg4.77 B44,Mg4.77,Mg,4.77,2,3,B44,B,44,13,2,Tetragonal,c,
96,260706,P 41 21 2,Mg4.78 B44,Mg4.78,Mg,4.78,2,3,B44,B,44,13,2,Tetragonal,c,
96,168417,P 41 21 2,Si4 Ti5,Si4,Si,4,14,3,Ti5,Ti,5,4,4,Tetragonal,c,t
96,670864,P 41 21 2,Rh5 Si2,Rh5,Rh,5,9,5,Si2,Si,2,14,3,Tetragonal,c,t
96,670928,P 41 21 2,O2 Si,O2,O,2,16,2,Si,Si,1,14,3,Tetragonal,c,t
144,16021,P 31,B2 O3,B2,B,2,13,2,O3,O,3,16,2,Trigonal,,
144,16881,P 31,Fe7 Se8,Fe7,Fe,7,8,4,Se8,Se,8,16,4,Trigonal,,
144,9146,P 31,Fe7 S8,Fe7,Fe,7,8,4,S8,S,8,16,3,Trigonal,,
144,39860,P 31,Ti5.73 C3.72,Ti5.73,Ti,5.73,4,4,C3.72,C,3.72,14,2,Trigonal,,
144,60819,P 31,Nb6 C4.73,Nb6,Nb,6,5,5,C4.73,C,4.73,14,2,Trigonal,,
144,80076,P 31,Zn Te,Zn,Zn,1,12,4,Te,Te,1,16,5,Trigonal,,
144,42773,P 31,Ir Ge4,Ir,Ir,1,9,6,Ge4,Ge,4,14,4,Trigonal,,
144,77215,P 31,Nb6 C4.87,Nb6,Nb,6,5,5,C4.87,C,4.87,14,2,Trigonal,,
144,23681,P 31,S5 Se4,S5,S,5,16,3,Se4,Se,4,16,4,Trigonal,,
144,654841,P 31,V6 C5,V6,V,6,5,4,C5,C,5,14,2,Trigonal,,
144,173560,P 32,Be Cl2,Be,Be,1,2,2,Cl2,Cl,2,17,3,Trigonal,c,t
145,16021,P 31,B2 O3,B2,B,2,13,2,O3,O,3,16,2,Trigonal,c,
145,16881,P 31,Fe7 Se8,Fe7,Fe,7,8,4,Se8,Se,8,16,4,Trigonal,c,
145,9146,P 31,Fe7 S8,Fe7,Fe,7,8,4,S8,S,8,16,3,Trigonal,c,
145,39860,P 31,Ti5.73 C3.72,Ti5.73,Ti,5.73,4,4,C3.72,C,3.72,14,2,Trigonal,c,
145,60819,P 31,Nb6 C4.73,Nb6,Nb,6,5,5,C4.73,C,4.73,14,2,Trigonal,c,
145,80076,P 31,Zn Te,Zn,Zn,1,12,4,Te,Te,1,16,5,Trigonal,c,
145,42773,P 31,Ir Ge4,Ir,Ir,1,9,6,Ge4,Ge,4,14,4,Trigonal,c,
145,77215,P 31,Nb6 C4.87,Nb6,Nb,6,5,5,C4.87,C,4.87,14,2,Trigonal,c,
145,23681,P 31,S5 Se4,S5,S,5,16,3,Se4,Se,4,16,4,Trigonal,c,
145,654841,P 31,V6 C5,V6,V,6,5,4,C5,C,5,14,2,Trigonal,c,
145,173560,P 32,Be Cl2,Be,Be,1,2,2,Cl2,Cl,2,17,3,Trigonal,,t
151,26070,P 31 1 2,Ti Cl3,Ti,Ti,1,4,4,Cl3,Cl,3,17,3,Trigonal,,
151,71098,P 31 1 2,V6 C5,V6,V,6,5,4,C5,C,5,14,2,Trigonal,,
151,20717,P 31 1 2,Ru Cl3,Ru,Ru,1,8,5,Cl3,Cl,3,17,3,Trigonal,,
151,104805,P 31 1 2,Lu Ni4,Lu,Lu,1,3,6,Ni4,Ni,4,10,4,Trigonal,,
151,33578,P 32 1 2,Cr Cl3,Cr,Cr,1,6,4,Cl3,Cl,3,17,3,Trigonal,c,
151,167672,P 32 1 2,Li7 Si3,Li7,Li,7,1,2,Si3,Si,3,14,3,Trigonal,c,t
152,8048,P 31 2 1,Fe7 Se8,Fe7,Fe,7,8,4,Se8,Se,8,16,4,Trigonal,,
152,8064,P 31 2 1,Fe7 S8,Fe7,Fe,7,8,4,S8,S,8,16,3,Trigonal,,
152,24062,P 31 2 1,Hg O,Hg,Hg,1,12,6,O,O,1,16,2,Trigonal,,
152,27745,P 31 2 1,Si O2,Si,Si,1,14,3,O2,O,2,16,2,Trigonal,,
152,37164,P 31 2 1,Ni17 S18,Ni17,Ni,17,10,4,S18,S,18,16,3,Trigonal,,
152,31129,P 31 2 1,Hg S,Hg,Hg,1,12,6,S,S,1,16,3,Trigonal,,
152,41592,P 31 2 1,Hg Te,Hg,Hg,1,12,6,Te,Te,1,16,5,Trigonal,,
152,65938,P 31 2 1,Ti6 C3.75,Ti6,Ti,6,4,4,C3.75,C,3.75,14,2,Trigonal,,
