Table No.,ICSD No.,Space Group,Struct.formula,,元素1,元素1数,族1,周期1,,元素2,元素2数,族2,周期2,晶系,,
9,14373,C 1 c 1,Al2 Se3,Al2,Al,2,13,3,Se3,Se,3,16,4,Monoclinic,,
9,15899,C 1 c 1,V3 O5,V3,V,3,5,4,O5,O,5,16,2,Monoclinic,,
9,26282,C 1 c 1,Tl2 Te3,Tl2,Tl,2,13,6,Te3,Te,3,16,5,Monoclinic,,
9,621753,C 1 c 1,Ce P2,Ce,Ce,1,3,6,P2,P,2,15,3,Monoclinic,,
9,261955,C 1 c 1,H N3,H,H,1,1,1,N3,N,3,15,2,Monoclinic,,
9,251996,C 1 c 1,Mn P4,Mn,Mn,1,7,4,P4,P,4,15,3,Monoclinic,,
9,239213,C 1 c 1,C100 Cl22,C100,C,100,14,2,Cl22,Cl,22,17,3,Monoclinic,,
9,252266,C 1 c 1,Fe3 O4,Fe3,Fe,3,8,4,O4,O,4,16,2,Monoclinic,,
25,10021,P m m 2,In Sb,In,In,1,13,5,Sb,Sb,1,15,5,Orthorhombic,,
25,9112,P 2 m m,Ta2 O5,Ta2,Ta,2,5,6,O5,O,5,16,2,Orthorhombic,,
25,20375,P m 2 m,Ti Si,Ti,Ti,1,4,4,Si,Si,1,14,3,Orthorhombic,,
25,38820,P m 2 m,Ag3 Sb,Ag3,Ag,3,11,5,Sb,Sb,1,15,5,Orthorhombic,,
25,64698,P m m 2,Ag3.15 Sb0.85,Ag3.15,Ag,3.15,11,5,Sb0.85,Sb,0.85,15,5,Orthorhombic,,
25,43951,P m m 2,Ga As,Ga,Ga,1,13,4,As,As,1,15,4,Orthorhombic,,
25,64716,P m m 2,Sb Ag3,Sb,Sb,1,15,5,Ag3,Ag,3,11,5,Orthorhombic,,
25,108237,P m m 2,Cd Te,Cd,Cd,1,12,5,Te,Te,1,16,5,Orthorhombic,,
25,151216,P 2 m m,Al Cu3,Al,Al,1,13,3,Cu3,Cu,3,11,4,Orthorhombic,,
26,15021,P m c 21,Tl P5,Tl,Tl,1,13,6,P5,P,5,15,3,Orthorhombic,,
26,36295,P 21 a m,Pb2 O3,Pb2,Pb,2,14,6,O3,O,3,16,2,Orthorhombic,,
26,35002,P m c 21,Fe3 O4,Fe3,Fe,3,8,4,O4,O,4,16,2,Orthorhombic,,
26,58629,P m c 21,Au5 Zn3,Au5,Au,5,11,6,Zn3,Zn,3,12,4,Orthorhombic,,
26,99273,P m c 21,Ni1.297 Te,Ni1.297,Ni,1.297,10,4,Te,Te,1,16,5,Orthorhombic,,
26,99464,P m c 21,Se O2,Se,Se,1,16,4,O2,O,2,16,2,Orthorhombic,,
27,42434,P c c 2,V4 D2.88,V4,V,4,5,4,D2.88,D,2.88,1,1,Orthorhombic,,
28,38213,P m a 2,Au Te2,Au,Au,1,11,6,Te2,Te,2,16,5,Orthorhombic,,
28,9873,P m a 2,Tl F,Tl,Tl,1,13,6,F,F,1,17,2,Orthorhombic,,
28,99272,P m a 2,Ni2.88 Te2,Ni2.88,Ni,2.88,10,4,Te2,Te,2,16,5,Orthorhombic,,
29,15998,P c a 21,S8 O,S8,S,8,16,3,O,O,1,16,2,Orthorhombic,,
29,39461,P c a 21,Mo1.93 C0.96,Mo1.93,Mo,1.93,6,5,C0.96,C,0.96,14,2,Orthorhombic,,
29,36250,P c a 21,Pb O,Pb,Pb,1,14,6,O,O,1,16,2,Orthorhombic,,
29,41401,P c a 21,Fe S2,Fe,Fe,1,8,4,S2,S,2,16,3,Orthorhombic,,
29,67004,P b c 21,Zr O2,Zr,Zr,1,4,5,O2,O,2,16,2,Orthorhombic,,
29,42078,P c a 21,Ni6 Se5,Ni6,Ni,6,10,4,Se5,Se,5,16,4,Orthorhombic,,
29,93460,P c a 21,Ge4 Se9,Ge4,Ge,4,14,4,Se9,Se,9,16,4,Orthorhombic,,
29,155810,P b c 21,Mg H2,Mg,Mg,1,2,3,H2,H,2,1,1,Orthorhombic,,
29,182302,P b c 21,As S,As,As,1,15,4,S,S,1,16,3,Orthorhombic,,
30,415892,P c n 2,Cs1.34 Zn16,Cs1.34,Cs,1.34,1,6,Zn16,Zn,16,12,4,Orthorhombic,,
31,14348,P n m 21,W Te2,W,W,1,6,6,Te2,Te,2,16,5,Orthorhombic,,
31,15984,P m n 21,V2 O5,V2,V,2,5,4,O5,O,5,16,2,Orthorhombic,,
31,20624,P m 21 n,Sn O,Sn,Sn,1,14,5,O,O,1,16,2,Orthorhombic,,
31,24807,P m n 21,Zr I2,Zr,Zr,1,4,5,I2,I,2,17,5,Orthorhombic,,
31,63536,P n 21 m,Te I4,Te,Te,1,16,5,I4,I,4,17,5,Orthorhombic,,
31,85302,P 21 n m,Sb2 S3,Sb2,Sb,2,15,5,S3,S,3,16,3,Orthorhombic,,
31,86207,P m n 21,Si32 O64,Si32,Si,32,14,3,O64,O,64,16,2,Orthorhombic,,
31,104638,P m n 21,Al13 Co4,Al13,Al,13,13,3,Co4,Co,4,9,4,Orthorhombic,,
31,238947,P m n 21,Zn8 Sb7,Zn8,Zn,8,12,4,Sb7,Sb,7,15,5,Orthorhombic,,
