Table No.,ICSD No.,Space Group,Struct.formula,,元素1,元素1数,族1,周期1,,元素2,元素2数,族2,周期2,晶系,,
5,24881,I 1 2 1,Ta2 O5,Ta2,Ta,2,5,6,O5,O,5,16,2,Monoclinic,,
5,60913,C 1 2 1,V2 D0.923,V2,V,2,5,4,D0.923,D,0.923,1,1,Monoclinic,,
5,68712,C 1 2 1,Pb S,Pb,Pb,1,14,6,S,S,1,16,3,Monoclinic,,
5,68713,C 1 2 1,V S2,V,V,1,5,4,S2,S,2,16,3,Monoclinic,,
5,69043,C 1 2 1,Nb S2,Nb,Nb,1,5,5,S2,S,2,16,3,Monoclinic,,
5,66357,C 1 2 1,Ho S,Ho,Ho,1,3,6,S,S,1,16,3,Monoclinic,,
5,74446,C 1 2 1,Tl S,Tl,Tl,1,13,6,S,S,1,16,3,Monoclinic,,
5,82901,C 2 1 1,Ti1.057 S2,Ti1.057,Ti,1.057,4,4,S2,S,2,16,3,Monoclinic,,
5,83827,C 2 1 1,Sm S,Sm,Sm,1,3,6,S,S,1,16,3,Monoclinic,,
5,44042,C 1 2 1,Pd5 As,Pd5,Pd,5,10,5,As,As,1,15,4,Monoclinic,,
5,76694,I 1 2 1,Ni5 Sb2,Ni5,Ni,5,10,4,Sb2,Sb,2,15,5,Monoclinic,,
5,51176,C 1 2 1,Nb2 O5,Nb2,Nb,2,5,5,O5,O,5,16,2,Monoclinic,,
5,77958,C 1 2 1,Ni5 Ge3,Ni5,Ni,5,10,4,Ge3,Ge,3,14,4,Monoclinic,,
5,53749,C 1 2 1,Ni19 Ge12,Ni19,Ni,19,10,4,Ge12,Ge,12,14,4,Monoclinic,,
5,52311,C 1 2 1,Ta Sb2,Ta,Ta,1,5,6,Sb2,Sb,2,15,5,Monoclinic,,
5,611576,C 1 2 1,W As2,W,W,1,6,6,As2,As,2,15,4,Monoclinic,,
5,637537,C 1 2 1,Pd5 Ge,Pd5,Pd,5,10,5,Ge,Ge,1,14,4,Monoclinic,,
5,648187,C 1 2 1,Ta P2,Ta,Ta,1,5,6,P2,P,2,15,3,Monoclinic,,
5,648361,C 1 2 1,Pd5 Pb3,Pd5,Pd,5,10,5,Pb3,Pb,3,14,6,Monoclinic,,
5,107966,C 1 2 1,Ta As2,Ta,Ta,1,5,6,As2,As,2,15,4,Monoclinic,,
5,150126,C 1 2 1,Cu5 Sn4,Cu5,Cu,5,11,4,Sn4,Sn,4,14,5,Monoclinic,,
5,400887,C 1 2 1,Mo4 Al17,Mo4,Mo,4,6,5,Al17,Al,17,13,3,Monoclinic,,
5,380385,C 1 2 1,W15 I47,W15,W,15,6,6,I47,I,47,17,5,Monoclinic,,
5,262212,A 1 1 2,Y6 S11.05,Y6,Y,6,3,5,S11.05,S,11.05,16,3,Monoclinic,,
17,43242,P 2 2 21,Ag2 Se,Ag2,Ag,2,11,5,Se,Se,1,16,4,Orthorhombic,,
17,58806,P 2 2 21,Bi Mn,Bi,Bi,1,15,6,Mn,Mn,1,7,4,Orthorhombic,,
17,653907,P 2 2 21,Bi0.76 Mn0.876,Bi0.76,Bi,0.76,15,6,Mn0.876,Mn,0.876,7,4,Orthorhombic,,
17,655963,P 2 2 21,Nd Si2,Nd,Nd,1,3,6,Si2,Si,2,14,3,Orthorhombic,,
17,54376,P 2 2 21,Nd Si1.817,Nd,Nd,1,3,6,Si1.817,Si,1.817,14,3,Orthorhombic,,
18,26765,P 21 21 2,Ba S3,Ba,Ba,1,2,6,S3,S,3,16,3,Orthorhombic,,
18,90788,P 21 2 21,Pd7 Se4,Pd7,Pd,7,10,5,Se4,Se,4,16,4,Orthorhombic,,
19,262634,P 21 21 21,Ag2 S,Ag2,Ag,2,11,5,S,S,1,16,3,Orthorhombic,,
19,15213,P 21 21 21,Ag2 Se,Ag2,Ag,2,11,5,Se,Se,1,16,4,Orthorhombic,,
19,61020,P 21 21 21,Al0.87 B12,Al0.87,Al,0.87,13,3,B12,B,12,13,2,Orthorhombic,,
19,38057,P 21 21 21,Al6.3 B88,Al6.3,Al,6.3,13,3,B88,B,88,13,2,Orthorhombic,,
19,24579,P 21 21 21,As Br3,As,As,1,15,4,Br3,Br,3,17,4,Orthorhombic,,
19,35133,P 21 21 21,As Cl3,As,As,1,15,4,Cl3,Cl,3,17,3,Orthorhombic,,
19,987,P 21 21 21,As2 O5,As2,As,2,15,4,O5,O,5,16,2,Orthorhombic,,
19,26562,P 21 21 21,B14 H20,B14,B,14,13,2,H20,H,20,1,1,Orthorhombic,,
19,43258,P 21 21 21,B8 Cl8,B8,B,8,13,2,Cl8,Cl,8,17,3,Orthorhombic,,
19,188892,P 21 21 21,C O2,C,C,1,14,2,O2,O,2,16,2,Orthorhombic,,
19,56909,P 21 21 21,C20 H36,C20,C,20,14,2,H36,H,36,1,1,Orthorhombic,,
19,192246,P 21 21 21,Co Y3,Co,Co,1,9,4,Y3,Y,3,3,5,Orthorhombic,,
19,14031,P 21 21 21,Cs Sb,Cs,Cs,1,1,6,Sb,Sb,1,15,5,Orthorhombic,,
19,201073,P 21 21 21,Cs2 S5,Cs2,Cs,2,1,6,S5,S,5,16,3,Orthorhombic,,
19,60087,P 21 21 21,Cs2 Se5,Cs2,Cs,2,1,6,Se5,Se,5,16,4,Orthorhombic,,
19,155543,P 21 21 21,D2 O,D2,D,2,1,1,O,O,1,16,2,Orthorhombic,,
19,173481,P 21 21 21,Ge D4,Ge,Ge,1,14,4,D4,D,4,1,1,Orthorhombic,,
19,18030,P 21 21 21,Ge F2,Ge,Ge,1,14,4,F2,F,2,17,2,Orthorhombic,,
19,79668,P 21 21 21,In2 Br3,In2,In,2,13,5,Br3,Br,3,17,4,Orthorhombic,,
19,412593,P 21 21 21,K As,K,K,1,1,4,As,As,1,15,4,Orthorhombic,,
19,14010,P 21 21 21,K P,K,K,1,1,4,P,P,1,15,3,Orthorhombic,,
19,44675,P 21 21 21,K2 S5,K2,K,2,1,4,S5,S,5,16,3,Orthorhombic,,
19,72380,P 21 21 21,K2 Se5,K2,K,2,1,4,Se5,Se,5,16,4,Orthorhombic,,
19,60774,P 21 21 21,Li3 P7,Li3,Li,3,1,2,P7,P,7,15,3,Orthorhombic,,
19,187196,P 21 21 21,Mn Ge,Mn,Mn,1,7,4,Ge,Ge,1,14,4,Orthorhombic,,
19,105044,P 21 21 21,Mo Ni,Mo,Mo,1,6,5,Ni,Ni,1,10,4,Orthorhombic,,
19,644016,P 21 21 21,Mo28 Ni28,Mo28,Mo,28,6,5,Ni28,Ni,28,10,4,Orthorhombic,,
19,83234,P 21 21 21,N D3,N,N,1,15,2,D3,D,3,1,1,Orthorhombic,,
19,80890,P 21 21 21,N2 O3,N2,N,2,15,2,O3,O,3,16,2,Orthorhombic,,
19,610971,P 21 21 21,Na As,Na,Na,1,1,3,As,As,1,15,4,Orthorhombic,,
19,14009,P 21 21 21,Na P,Na,Na,1,1,3,P,P,1,15,3,Orthorhombic,,
19,412594,P 21 21 21,Rb As,Rb,Rb,1,1,5,As,As,1,15,4,Orthorhombic,,
19,14030,P 21 21 21,Rb Sb,Rb,Rb,1,1,5,Sb,Sb,1,15,5,Orthorhombic,,
19,97396,P 21 21 21,Rb12 Sn17,Rb12,Rb,12,1,5,Sn17,Sn,17,14,5,Orthorhombic,,
19,100321,P 21 21 21,Rb2 S5,Rb2,Rb,2,1,5,S5,S,5,16,3,Orthorhombic,,
19,100322,P 21 21 21,Rb2 Se5,Rb2,Rb,2,1,5,Se5,Se,5,16,4,Orthorhombic,,
19,15217,P 21 21 21,Re2 O7,Re2,Re,2,7,6,O7,O,7,16,2,Orthorhombic,,
19,38351,P 21 21 21,S Cl2,S,S,1,16,3,Cl2,Cl,2,17,3,Orthorhombic,,
19,425996,P 21 21 21,S F4,S,S,1,16,3,F4,F,4,17,2,Orthorhombic,,
19,14217,P 21 21 21,Sb Br3,Sb,Sb,1,15,5,Br3,Br,3,17,4,Orthorhombic,,
19,414463,P 21 21 21,Sb2 O3,Sb2,Sb,2,15,5,O3,O,3,16,2,Orthorhombic,,
19,85451,P 21 21 21,Se F4,Se,Se,1,16,4,F4,F,4,17,2,Orthorhombic,,
19,61135,P 21 21 21,Se5.1 S1.9,Se5.1,Se,5.1,16,4,S1.9,S,1.9,16,3,Orthorhombic,,
19,85526,P 21 21 21,Si Cl2,Si,Si,1,14,3,Cl2,Cl,2,17,3,Orthorhombic,,
19,100199,P 21 21 21,Si O2,Si,Si,1,14,3,O2,O,2,16,2,Orthorhombic,,
19,14194,P 21 21 21,Sn F2,Sn,Sn,1,14,5,F2,F,2,17,2,Orthorhombic,,
19,412293,P 21 21 21,Ta97 Te60,Ta97,Ta,97,5,6,Te60,Te,60,16,5,Orthorhombic,,
19,245162,P 21 21 21,Tb13 Zn59,Tb13,Tb,13,3,6,Zn59,Zn,59,12,4,Orthorhombic,,
19,9869,P 21 21 21,Te F4,Te,Te,1,16,5,F4,F,4,17,2,Orthorhombic,,
19,34423,P 21 21 21,Te O2,Te,Te,1,16,5,O2,O,2,16,2,Orthorhombic,,
19,63583,P 21 21 21,Th P7,Th,Th,1,3,7,P7,P,7,15,3,Orthorhombic,,
19,1911,P 21 21 21,Tl2 S5,Tl2,Tl,2,13,6,S5,S,5,16,3,Orthorhombic,,
19,14366,P 21 21 21,U O3,U,U,1,3,7,O3,O,3,16,2,Orthorhombic,,
19,26627,P 21 21 21,Xe O3,Xe,Xe,1,18,5,O3,O,3,16,2,Orthorhombic,,
20,2442,C 2 2 21,Fe P4,Fe,Fe,1,8,4,P4,P,4,15,3,Orthorhombic,,
20,31683,C 2 2 21,H2 O,H2,H,2,1,1,O,O,1,16,2,Orthorhombic,,
20,88125,C 2 2 21,Ho14 Ge23,Ho14,Ho,14,3,6,Ge23,Ge,23,14,4,Orthorhombic,,
20,106857,C 2 2 21,In Na2,In,In,1,13,5,Na2,Na,2,1,3,Orthorhombic,,
20,60196,C 2 2 21,Mn2 N0.86,Mn2,Mn,2,7,4,N0.86,N,0.86,15,2,Orthorhombic,,
20,105171,C 2 2 21,Na2 Tl,Na2,Na,2,1,3,Tl,Tl,1,13,6,Orthorhombic,,
20,73093,C 2 2 21,Nb Se2,Nb,Nb,1,5,5,Se2,Se,2,16,4,Orthorhombic,,
20,88224,C 2 2 21,Nd4 Ge7,Nd4,Nd,4,3,6,Ge7,Ge,7,14,4,Orthorhombic,,
20,261025,C 2 2 21,Pr4 Ge7,Pr4,Pr,4,3,6,Ge7,Ge,7,14,4,Orthorhombic,,
20,15321,C 2 2 21,Si O2,Si,Si,1,14,3,O2,O,2,16,2,Orthorhombic,,
20,237695,C 2 2 21,Sm4 Ge7,Sm4,Sm,4,3,6,Ge7,Ge,7,14,4,Orthorhombic,,
20,68597,C 2 2 21,Tb Si1.75,Tb,Tb,1,3,6,Si1.75,Si,1.75,14,3,Orthorhombic,,
20,77832,C 2 2 21,V S2,V,V,1,5,4,S2,S,2,16,3,Orthorhombic,,
21,188474,C 2 2 2,Cr2 B,Cr2,Cr,2,6,4,B,B,1,13,2,Orthorhombic,,
21,630230,C 2 2 2,Dy Sb2,Dy,Dy,1,3,6,Sb2,Sb,2,15,5,Orthorhombic,,
21,631094,C 2 2 2,Er Sb2,Er,Er,1,3,6,Sb2,Sb,2,15,5,Orthorhombic,,
21,636367,C 2 2 2,Gd Sb2,Gd,Gd,1,3,6,Sb2,Sb,2,15,5,Orthorhombic,,
21,26220,C 2 2 2,Ho Sb2,Ho,Ho,1,3,6,Sb2,Sb,2,15,5,Orthorhombic,,
21,642589,C 2 2 2,Lu Sb2,Lu,Lu,1,3,6,Sb2,Sb,2,15,5,Orthorhombic,,
21,280624,C 2 2 2,Si32 O64,Si32,Si,32,14,3,O64,O,64,16,2,Orthorhombic,,
21,201558,C 2 2 2,Ta D0.48,Ta,Ta,1,5,6,D0.48,D,0.48,1,1,Orthorhombic,,
21,5457,C 2 2 2,Ta H0.84,Ta,Ta,1,5,6,H0.84,H,0.84,1,1,Orthorhombic,,
21,28022,A 2 2 2,Ta2 D,Ta2,Ta,2,5,6,D,D,1,1,1,Orthorhombic,,
