Table No.,ICSD No.,Space Group,Struct.formula,,å≥ëf1,å≥ëf1êî,ë∞1,é¸ä˙1,,å≥ëf2,å≥ëf2êî,ë∞2,é¸ä˙2,èªån,,
144,16021,P 31,B2 O3,B2,B,2,13,2,O3,O,3,16,2,Trigonal,,
144,16881,P 31,Fe7 Se8,Fe7,Fe,7,8,4,Se8,Se,8,16,4,Trigonal,,
144,9146,P 31,Fe7 S8,Fe7,Fe,7,8,4,S8,S,8,16,3,Trigonal,,
144,39860,P 31,Ti5.73 C3.72,Ti5.73,Ti,5.73,4,4,C3.72,C,3.72,14,2,Trigonal,,
144,60819,P 31,Nb6 C4.73,Nb6,Nb,6,5,5,C4.73,C,4.73,14,2,Trigonal,,
144,80076,P 31,Zn Te,Zn,Zn,1,12,4,Te,Te,1,16,5,Trigonal,,
144,42773,P 31,Ir Ge4,Ir,Ir,1,9,6,Ge4,Ge,4,14,4,Trigonal,,
144,77215,P 31,Nb6 C4.87,Nb6,Nb,6,5,5,C4.87,C,4.87,14,2,Trigonal,,
144,23681,P 31,S5 Se4,S5,S,5,16,3,Se4,Se,4,16,4,Trigonal,,
144,654841,P 31,V6 C5,V6,V,6,5,4,C5,C,5,14,2,Trigonal,,
146,38073,R 3 H,Fe12 As5,Fe12,Fe,12,8,4,As5,As,5,15,4,Trigonal,,
146,200055,R 3 H,Pd7 P3,Pd7,Pd,7,10,5,P3,P,3,15,3,Trigonal,,
146,41748,R 3 H,Pd8 Sb3,Pd8,Pd,8,10,5,Sb3,Sb,3,15,5,Trigonal,,
146,42550,R 3 H,Tl2 S,Tl2,Tl,2,13,6,S,S,1,16,3,Trigonal,,
146,58589,R 3 H,Au5 Sn,Au5,Au,5,11,6,Sn,Sn,1,14,5,Trigonal,,
146,616947,R 3 H,Pd8 Bi3,Pd8,Pd,8,10,5,Bi3,Bi,3,15,6,Trigonal,,
146,51976,R 3 H,In Mg3,In,In,1,13,5,Mg3,Mg,3,2,3,Trigonal,,
146,108980,R 3 H,Gd O0.656,Gd,Gd,1,3,6,O0.656,O,0.656,16,2,Trigonal,,
146,108981,R 3 H,Sm O0.656,Sm,Sm,1,3,6,O0.656,O,0.656,16,2,Trigonal,,
146,186208,R 3 H,W2 N3,W2,W,2,6,6,N3,N,3,15,2,Trigonal,,
146,55577,R 3 H,Mg9 Sn5,Mg9,Mg,9,2,3,Sn5,Sn,5,14,5,Trigonal,,
156,6066,P 3 m 1,Cd I2,Cd,Cd,1,12,5,I2,I,2,17,5,Trigonal,,
156,23762,P 3 m 1,Pb I2,Pb,Pb,1,14,6,I2,I,2,17,5,Trigonal,,
156,30363,P 3 m 1,Cu I,Cu,Cu,1,11,4,I,I,1,17,5,Trigonal,,
156,68820,P 3 m 1,Pb1.785 I3.570,Pb1.785,Pb,1.785,14,6,I3.570,I,3.57,17,5,Trigonal,,
156,201088,P 3 m 1,Ni2 H,Ni2,Ni,2,10,4,H,H,1,1,1,Trigonal,,
156,42156,P 3 m 1,Cu1.81 Te,Cu1.81,Cu,1.81,11,4,Te,Te,1,16,5,Trigonal,,
156,42703,P 3 m 1,Cr0.68 Se,Cr0.68,Cr,0.68,6,4,Se,Se,1,16,4,Trigonal,,
156,42779,P 3 m 1,Zn S,Zn,Zn,1,12,4,S,S,1,16,3,Trigonal,,
156,42859,P 3 m 1,Si C,Si,Si,1,14,3,C,C,1,14,2,Trigonal,,
156,43048,P 3 m 1,Cu7 Te4,Cu7,Cu,7,11,4,Te4,Te,4,16,5,Trigonal,,
156,87415,P 3 m 1,Sb2 Te3,Sb2,Sb,2,15,5,Te3,Te,3,16,5,Trigonal,,
156,290623,P 3 m 1,Cu1.79 Te,Cu1.79,Cu,1.79,11,4,Te,Te,1,16,5,Trigonal,,
157,58408,P 3 1 m,Au Cd,Au,Au,1,11,6,Cd,Cd,1,12,5,Trigonal,,
157,170238,P 3 1 m,Ba21 Al40,Ba21,Ba,21,2,6,Al40,Al,40,13,3,Trigonal,,
157,237500,P 3 1 m,Au6.05 Zn12.51,Au6.05,Au,6.05,11,6,Zn12.51,Zn,12.51,12,4,Trigonal,,
157,428088,P 3 1 m,Bi2 Pt,Bi2,Bi,2,15,6,Pt,Pt,1,10,6,Trigonal,,
158,22093,P 3 c 1,Ru Cl3,Ru,Ru,1,8,5,Cl3,Cl,3,17,3,Trigonal,,
158,42986,P 3 c 1,Zr O0.27,Zr,Zr,1,4,5,O0.27,O,0.27,16,2,Trigonal,,
158,76505,P 3 c 1,Mn5.11 Ge2,Mn5.11,Mn,5.11,7,4,Ge2,Ge,2,14,4,Trigonal,,
158,76506,P 3 c 1,Mn5 Ge2,Mn5,Mn,5,7,4,Ge2,Ge,2,14,4,Trigonal,,
158,636967,P 3 c 1,Mn23 Ge9,Mn23,Mn,23,7,4,Ge9,Ge,9,14,4,Trigonal,,
158,417146,P 3 c 1,Pt18 Al70.92,Pt18,Pt,18,10,6,Al70.92,Al,70.92,13,3,Trigonal,,
159,10039,P 3 1 c,Se Br4,Se,Se,1,16,4,Br4,Br,4,17,4,Trigonal,,
159,16752,P 3 1 c,Si3 N4,Si3,Si,3,14,3,N4,N,4,15,2,Trigonal,,
159,17009,P 3 1 c,Ti6 O,Ti6,Ti,6,4,4,O,O,1,16,2,Trigonal,,
159,6004,P 3 1 c,Si2.925 N3.99,Si2.925,Si,2.925,14,3,N3.99,N,3.99,15,2,Trigonal,,
159,23673,P 3 1 c,Si2.985 N4.38,Si2.985,Si,2.985,14,3,N4.38,N,4.38,15,2,Trigonal,,
159,23674,P 3 1 c,Ge3 N4.22,Ge3,Ge,3,14,4,N4.22,N,4.22,15,2,Trigonal,,
159,60193,P 3 1 c,W1.1 N,W1.1,W,1.1,6,6,N,N,1,15,2,Trigonal,,
159,637158,P 3 1 c,Ge3 N4,Ge3,Ge,3,14,4,N4,N,4,15,2,Trigonal,,
159,154511,P 3 1 c,Ir9 Al28,Ir9,Ir,9,9,6,Al28,Al,28,13,3,Trigonal,,
159,421855,P 3 1 c,Bi2 O3,Bi2,Bi,2,15,6,O3,O,3,16,2,Trigonal,,
160,823,R 3 m R,Cr5 Al8,Cr5,Cr,5,6,4,Al8,Al,8,13,3,Trigonal,,
160,1884,R 3 m H,In Se,In,In,1,13,5,Se,Se,1,16,4,Trigonal,,
160,9340,R 3 m H,Cd I2,Cd,Cd,1,12,5,I2,I,2,17,5,Trigonal,,
160,14397,R 3 m R,Al4 C3,Al4,Al,4,13,3,C3,C,3,14,2,Trigonal,,
160,15311,R 3 m H,Ti9.2 S16,Ti9.2,Ti,9.2,4,4,S16,S,16,16,3,Trigonal,,
160,16948,R 3 m H,Mo Se2,Mo,Mo,1,6,5,Se2,Se,2,16,4,Trigonal,,
160,17008,R 3 m H,In2 Se3,In2,In,2,13,5,Se3,Se,3,16,4,Trigonal,,
160,18131,R 3 m H,Nb Se2,Nb,Nb,1,5,5,Se2,Se,2,16,4,Trigonal,,
160,20144,R 3 m H,Zr Cl2,Zr,Zr,1,4,5,Cl2,Cl,2,17,3,Trigonal,,
160,23041,R 3 m R,Li5 B4,Li5,Li,5,1,2,B4,B,4,13,2,Trigonal,,
160,24315,R 3 m H,Ta Se2,Ta,Ta,1,5,6,Se2,Se,2,16,4,Trigonal,,
160,24319,R 3 m H,Ta1.11 Se2,Ta1.11,Ta,1.11,5,6,Se2,Se,2,16,4,Trigonal,,
160,26424,R 3 m H,Nb1.06 S2,Nb1.06,Nb,1.06,5,5,S2,S,2,16,3,Trigonal,,
160,23887,R 3 m H,Si C,Si,Si,1,14,3,C,C,1,14,2,Trigonal,,
160,29312,R 3 m R,Ni S,Ni,Ni,1,10,4,S,S,1,16,3,Trigonal,,
160,20289,R 3 m H,Bi2 Te3,Bi2,Bi,2,15,6,Te3,Te,3,16,5,Trigonal,,
160,26622,R 3 m H,Mo S2,Mo,Mo,1,6,5,S2,S,2,16,3,Trigonal,,
160,30361,R 3 m H,Bi O,Bi,Bi,1,15,6,O,O,1,16,2,Trigonal,,
160,37186,R 3 m H,Ag Te3,Ag,Ag,1,11,5,Te3,Te,3,16,5,Trigonal,,
160,69756,R 3 m R,Cu1.8 S,Cu1.8,Cu,1.8,11,4,S,S,1,16,3,Trigonal,,
160,79591,R 3 m H,Ti0.98 S3,Ti0.98,Ti,0.98,4,4,S3,S,3,16,3,Trigonal,,
160,81124,R 3 m H,Ti S3,Ti,Ti,1,4,4,S3,S,3,16,3,Trigonal,,
160,85964,R 3 m H,Ta1.08 S2,Ta1.08,Ta,1.08,5,6,S2,S,2,16,3,Trigonal,,
160,202367,R 3 m H,W S2,W,W,1,6,6,S2,S,2,16,3,Trigonal,,
160,41040,R 3 m H,As2 Te3,As2,As,2,15,4,Te3,Te,3,16,5,Trigonal,,
160,41952,R 3 m R,C3 N4,C3,C,3,14,2,N4,N,4,15,2,Trigonal,,
160,42596,R 3 m H,Ni Se,Ni,Ni,1,10,4,Se,Se,1,16,4,Trigonal,,
160,42781,R 3 m H,Zn S,Zn,Zn,1,12,4,S,S,1,16,3,Trigonal,,
160,43202,R 3 m H,Ge Te,Ge,Ge,1,14,4,Te,Te,1,16,5,Trigonal,,
160,43410,R 3 m H,Ta S2,Ta,Ta,1,5,6,S2,S,2,16,3,Trigonal,,
160,43696,R 3 m H,Nb S2,Nb,Nb,1,5,5,S2,S,2,16,3,Trigonal,,
160,43698,R 3 m H,Nb1.2 S2,Nb1.2,Nb,1.2,5,5,S2,S,2,16,3,Trigonal,,
160,44885,R 3 m H,Fe3 S4,Fe3,Fe,3,8,4,S4,S,4,16,3,Trigonal,,
160,56268,R 3 m HR,Cu7 Hg6,Cu7,Cu,7,11,4,Hg6,Hg,6,12,6,Trigonal,,
160,51588,R 3 m H,Nb1.09 S2,Nb1.09,Nb,1.09,5,5,S2,S,2,16,3,Trigonal,,
160,73388,R 3 m H,Ga Se,Ga,Ga,1,13,4,Se,Se,1,16,4,Trigonal,,
160,606741,R 3 m R,Al16 Cr9.5,Al16,Al,16,13,3,Cr9.5,Cr,9.5,6,4,Trigonal,,
160,606753,R 3 m R,Al8 Cr5,Al8,Al,8,13,3,Cr5,Cr,5,6,4,Trigonal,,
160,608465,R 3 m H,Mn5 Al8,Mn5,Mn,5,7,4,Al8,Al,8,13,3,Trigonal,,
160,618924,R 3 m H,Ti8 C5,Ti8,Ti,8,4,4,C5,C,5,14,2,Trigonal,,
160,634612,R 3 m H,Ga13 Mn13,Ga13,Ga,13,13,4,Mn13,Mn,13,7,4,Trigonal,,
160,644523,R 3 m R,Na N3,Na,Na,1,1,3,N3,N,3,15,2,Trigonal,,
160,419884,R 3 m H,Sn4 As3,Sn4,Sn,4,14,5,As3,As,3,15,4,Trigonal,,
160,428192,R 3 m H,As Se2,As,As,1,15,4,Se2,Se,2,16,4,Trigonal,,
160,190706,R 3 m H,Sb0.94 As1.06,Sb0.94,Sb,0.94,15,5,As1.06,As,1.06,15,4,Trigonal,,
160,190707,R 3 m H,Sb1.02 As0.98,Sb1.02,Sb,1.02,15,5,As0.98,As,0.98,15,4,Trigonal,,
160,190708,R 3 m H,Sb0.95 As1.05,Sb0.95,Sb,0.95,15,5,As1.05,As,1.05,15,4,Trigonal,,
160,191826,R 3 m H,Pr2 Fe17,Pr2,Pr,2,3,6,Fe17,Fe,17,8,4,Trigonal,,
160,191827,R 3 m H,Pr2.05 Co16.90,Pr2.05,Pr,2.05,3,6,Co16.90,Co,16.9,9,4,Trigonal,,
160,245337,R 3 m H,Mg36 Al61.7,Mg36,Mg,36,2,3,Al61.7,Al,61.7,13,3,Trigonal,,
160,237496,R 3 m H,Au4.27 Zn8.26,Au4.27,Au,4.27,11,6,Zn8.26,Zn,8.26,12,4,Trigonal,,
160,237497,R 3 m H,Au4.84 Zn7.85,Au4.84,Au,4.84,11,6,Zn7.85,Zn,7.85,12,4,Trigonal,,
160,237498,R 3 m H,Au4.58 Zn8.12,Au4.58,Au,4.58,11,6,Zn8.12,Zn,8.12,12,4,Trigonal,,
160,237499,R 3 m H,Au4.42 Zn8.19,Au4.42,Au,4.42,11,6,Zn8.19,Zn,8.19,12,4,Trigonal,,
160,195283,R 3 m H,Ta1.13 S2,Ta1.13,Ta,1.13,5,6,S2,S,2,16,3,Trigonal,,
161,16610,R 3 c R,P4 O10,P4,P,4,15,3,O10,O,10,16,2,Trigonal,,
161,24821,R 3 c H,Ga2 I4,Ga2,Ga,2,13,4,I4,I,4,17,5,Trigonal,,
161,38207,R 3 c R,P2 O5,P2,P,2,15,3,O5,O,5,16,2,Trigonal,,
161,62327,R 3 c H,Ni8 P3,Ni8,Ni,8,10,4,P3,P,3,15,3,Trigonal,,
161,40937,R 3 c H,C O,C,C,1,14,2,O,O,1,16,2,Trigonal,,
161,77891,R 3 c H,Pd8 Sb3,Pd8,Pd,8,10,5,Sb3,Sb,3,15,5,Trigonal,,
161,95562,R 3 c H,Yb4 As3,Yb4,Yb,4,3,6,As3,As,3,15,4,Trigonal,,
161,413715,R 3 c R,Te16 Si38,Te16,Te,16,16,5,Si38,Si,38,14,3,Trigonal,,
169,1376,P 61,In2 Se3,In2,In,2,13,5,Se3,Se,3,16,4,Hexagonal,,
169,73220,P 61,Al2 S3,Al2,Al,2,13,3,S3,S,3,16,3,Hexagonal,,
169,202408,P 61,Ga2 S3,Ga2,Ga,2,13,4,S3,S,3,16,3,Hexagonal,,
169,430303,P 61,W5 I12,W5,W,5,6,6,I12,I,12,17,5,Hexagonal,,
170,108563,P 65,In2 Se3,In2,In,2,13,5,Se3,Se,3,16,4,Hexagonal,,
171,150267,P 62,Co1.76 Zn13.24,Co1.76,Co,1.76,9,4,Zn13.24,Zn,13.24,12,4,Hexagonal,,
171,150268,P 62,Co1.815 Zn13.24,Co1.815,Co,1.815,9,4,Zn13.24,Zn,13.24,12,4,Hexagonal,,
173,1847,P 63,Cu20 Sn6,Cu20,Cu,20,11,4,Sn6,Sn,6,14,5,Hexagonal,,
173,8263,P 63,Si3 N4,Si3,Si,3,14,3,N4,N,4,15,2,Hexagonal,,
173,311,P 63,P I3,P,P,1,15,3,I3,I,3,17,5,Hexagonal,,
173,88241,P 63,Co H0.337,Co,Co,1,9,4,H0.337,H,0.337,1,1,Hexagonal,,
173,58206,P 63,Al5 W,Al5,Al,5,13,3,W,W,1,6,6,Hexagonal,,
173,105521,P 63,Al5 Mo,Al5,Al,5,13,3,Mo,Mo,1,6,5,Hexagonal,,
173,109215,P 63,In2 Se3,In2,In,2,13,5,Se3,Se,3,16,4,Hexagonal,,
173,251037,P 63,Mg9 Si5,Mg9,Mg,9,2,3,Si5,Si,5,14,3,Hexagonal,,
174,24143,P -6,Li2 O2,Li2,Li,2,1,2,O2,O,2,16,2,Hexagonal,,
174,85787,P -6,U7 Te12,U7,U,7,3,7,Te12,Te,12,16,5,Hexagonal,,
174,85788,P -6,Th7 Te12,Th7,Th,7,3,7,Te12,Te,12,16,5,Hexagonal,,
174,42632,P -6,Cr12 P7,Cr12,Cr,12,6,4,P7,P,7,15,3,Hexagonal,,
174,103153,P -6,Cu0.7 Zn2,Cu0.7,Cu,0.7,11,4,Zn2,Zn,2,12,4,Hexagonal,,
174,644729,P -6,Ta N,Ta,Ta,1,5,6,N,N,1,15,2,Hexagonal,,
174,660262,P -6,Ga Se,Ga,Ga,1,13,4,Se,Se,1,16,4,Hexagonal,,
174,150529,P -6,Zr4 Al3,Zr4,Zr,4,4,5,Al3,Al,3,13,3,Hexagonal,,
174,150551,P -6,Li Rh,Li,Li,1,1,2,Rh,Rh,1,9,5,Hexagonal,,
174,421584,P -6,Hg51.81 Na11.19,Hg51.81,Hg,51.81,12,6,Na11.19,Na,11.19,1,3,Hexagonal,,
174,428668,P -6,Eu10.1 Hg54.9,Eu10.1,Eu,10.1,3,6,Hg54.9,Hg,54.9,12,6,Hexagonal,,
183,91811,P 6 m m,Ta21 Te13,Ta21,Ta,21,5,6,Te13,Te,13,16,5,Hexagonal,,
185,15056,P 63 c m,Cu3 P,Cu3,Cu,3,11,4,P,P,1,15,3,Hexagonal,,
185,15053,P 63 c m,Ni5 As2,Ni5,Ni,5,10,4,As2,As,2,15,4,Hexagonal,,
185,22092,P 63 c m,Ru Cl3,Ru,Ru,1,8,5,Cl3,Cl,3,17,3,Hexagonal,,
185,24966,P 63 c m,U F3,U,U,1,3,7,F3,F,3,17,2,Hexagonal,,
185,27089,P 63 c m,La F3,La,La,1,3,6,F3,F,3,17,2,Hexagonal,,
185,27837,P 63 c m,H2 O,H2,H,2,1,1,O,O,1,16,2,Hexagonal,,
185,63049,P 63 c m,Nd F3,Nd,Nd,1,3,6,F3,F,3,17,2,Hexagonal,,
185,79586,P 63 c m,Na3 As,Na3,Na,3,1,3,As,As,1,15,4,Hexagonal,,
185,77965,P 63 c m,Co5 As2,Co5,Co,5,9,4,As2,As,2,15,4,Hexagonal,,
185,409668,P 63 c m,Cs3 As,Cs3,Cs,3,1,6,As,As,1,15,4,Hexagonal,,
185,58411,P 63 c m,Au Cd3,Au,Au,1,11,6,Cd3,Cd,3,12,5,Hexagonal,,
185,87357,P 63 c m,Yb2 S3,Yb2,Yb,2,3,6,S3,S,3,16,3,Hexagonal,,
185,413720,P 63 c m,Rh Mg3,Rh,Rh,1,9,5,Mg3,Mg,3,2,3,Hexagonal,,
185,409223,P 63 c m,Bi K3,Bi,Bi,1,15,6,K3,K,3,1,4,Hexagonal,,
185,637367,P 63 c m,Ni5 Ge2,Ni5,Ni,5,10,4,Ge2,Ge,2,14,4,Hexagonal,,
185,642571,P 63 c m,Lu2 S3,Lu2,Lu,2,3,6,S3,S,3,16,3,Hexagonal,,
185,646116,P 63 c m,Ni5 P2,Ni5,Ni,5,10,4,P2,P,2,15,3,Hexagonal,,
185,648767,P 63 c m,Pd5 Sb2,Pd5,Pd,5,10,5,Sb2,Sb,2,15,5,Hexagonal,,
185,651283,P 63 c m,Tm2 S3,Tm2,Tm,2,3,6,S3,S,3,16,3,Hexagonal,,
185,409824,P 63 c m,Mg3 Pd,Mg3,Mg,3,2,3,Pd,Pd,1,10,5,Hexagonal,,
185,54253,P 63 c m,Mg3 Pt,Mg3,Mg,3,2,3,Pt,Pt,1,10,6,Hexagonal,,
185,165992,P 63 c m,Na3 N,Na3,Na,3,1,3,N,N,1,15,2,Hexagonal,,
185,246319,P 63 c m,Y D3,Y,Y,1,3,5,D3,D,3,1,1,Hexagonal,,
185,106870,P 63 c m,Ir Mg2.73,Ir,Ir,1,9,6,Mg2.73,Mg,2.73,2,3,Hexagonal,,
185,106871,P 63 c m,Ir Mg3,Ir,Ir,1,9,6,Mg3,Mg,3,2,3,Hexagonal,,
185,106287,P 63 c m,Au Mg3,Au,Au,1,11,6,Mg3,Mg,3,2,3,Hexagonal,,
186,2002,P 63 m c,Ga Se,Ga,Ga,1,13,4,Se,Se,1,16,4,Hexagonal,,
186,2251,P 63 m c,Eu4.48 As2.86,Eu4.48,Eu,4.48,3,6,As2.86,As,2.86,15,4,Hexagonal,,
186,15620,P 63 m c,Be O,Be,Be,1,2,2,O,O,1,16,2,Hexagonal,,
186,15679,P 63 m c,Nb0.92 S,Nb0.92,Nb,0.92,5,5,S,S,1,16,3,Hexagonal,,
186,16260,P 63 m c,Ti2.45 S4,Ti2.45,Ti,2.45,4,4,S4,S,4,16,3,Hexagonal,,
186,1899,P 63 m c,Ag I,Ag,Ag,1,11,5,I,I,1,17,5,Hexagonal,,
186,15325,P 63 m c,Si C,Si,Si,1,14,3,C,C,1,14,2,Hexagonal,,
186,15477,P 63 m c,Zn S,Zn,Zn,1,12,4,S,S,1,16,3,Hexagonal,,
186,24263,P 63 m c,Pb I2,Pb,Pb,1,14,6,I2,I,2,17,5,Hexagonal,,
186,24770,P 63 m c,Cu Br,Cu,Cu,1,11,4,Br,Br,1,17,4,Hexagonal,,
186,24792,P 63 m c,Cr Se,Cr,Cr,1,6,4,Se,Se,1,16,4,Hexagonal,,
186,24923,P 63 m c,Pt O2,Pt,Pt,1,10,6,O2,O,2,16,2,Hexagonal,,
186,25568,P 63 m c,Ga1.33 S2,Ga1.33,Ga,1.33,13,4,S2,S,2,16,3,Hexagonal,,
186,25661,P 63 m c,Al1.33 Se2,Al1.33,Al,1.33,13,3,Se2,Se,2,16,4,Hexagonal,,
186,25676,P 63 m c,Ga N,Ga,Ga,1,13,4,N,N,1,15,2,Hexagonal,,
186,25677,P 63 m c,In N,In,In,1,13,5,N,N,1,15,2,Hexagonal,,
186,26170,P 63 m c,Zn O,Zn,Zn,1,12,4,O,O,1,16,2,Hexagonal,,
186,26249,P 63 m c,Ta Se2,Ta,Ta,1,5,6,Se2,Se,2,16,4,Hexagonal,,
186,27061,P 63 m c,Zr2.46 Se4,Zr2.46,Zr,2.46,4,5,Se4,Se,4,16,4,Hexagonal,,
186,24772,P 63 m c,Cu I,Cu,Cu,1,11,4,I,I,1,17,5,Hexagonal,,
186,27873,P 63 m c,H2 O,H2,H,2,1,1,O,O,1,16,2,Hexagonal,,
186,25782,P 63 m c,Cd Br2,Cd,Cd,1,12,5,Br2,Br,2,17,4,Hexagonal,,
186,26218,P 63 m c,Ir Si3,Ir,Ir,1,9,6,Si3,Si,3,14,3,Hexagonal,,
186,31169,P 63 m c,Al N,Al,Al,1,13,3,N,N,1,15,2,Hexagonal,,
186,31074,P 63 m c,Cd S,Cd,Cd,1,12,5,S,S,1,16,3,Hexagonal,,
186,38116,P 63 m c,Cd I2,Cd,Cd,1,12,5,I2,I,2,17,5,Hexagonal,,
186,60630,P 63 m c,Cd Se,Cd,Cd,1,12,5,Se,Se,1,16,4,Hexagonal,,
186,68847,P 63 m c,Fe S,Fe,Fe,1,8,4,S,S,1,16,3,Hexagonal,,
186,68853,P 63 m c,Fe0.985 S,Fe0.985,Fe,0.985,8,4,S,S,1,16,3,Hexagonal,,
186,79560,P 63 m c,Hf1.35 Se2,Hf1.35,Hf,1.35,4,6,Se2,Se,2,16,4,Hexagonal,,
186,85779,P 63 m c,Zr0.28 Zr Te2,Zr0.28,Zr,0.28,4,5,Zr,Zr,1,4,5,Hexagonal,,
186,42487,P 63 m c,Fe0.94 S,Fe0.94,Fe,0.94,8,4,S,S,1,16,3,Hexagonal,,
186,42493,P 63 m c,Ni S,Ni,Ni,1,10,4,S,S,1,16,3,Hexagonal,,
186,43003,P 63 m c,Sn S2,Sn,Sn,1,14,5,S2,S,2,16,3,Hexagonal,,
186,43239,P 63 m c,Ni5 P4,Ni5,Ni,5,10,4,P4,P,4,15,3,Hexagonal,,
186,43458,P 63 m c,Co O,Co,Co,1,9,4,O,O,1,16,2,Hexagonal,,
186,43595,P 63 m c,Zn Se,Zn,Zn,1,12,4,Se,Se,1,16,4,Hexagonal,,
186,44330,P 63 m c,Al1.333 Te2,Al1.333,Al,1.333,13,3,Te2,Te,2,16,5,Hexagonal,,
186,44617,P 63 m c,Ti3 S4,Ti3,Ti,3,4,4,S4,S,4,16,3,Hexagonal,,
186,44765,P 63 m c,Mn S,Mn,Mn,1,7,4,S,S,1,16,3,Hexagonal,,
186,44859,P 63 m c,Cu H,Cu,Cu,1,11,4,H,H,1,1,1,Hexagonal,,
186,76280,P 63 m c,Mo N,Mo,Mo,1,6,5,N,N,1,15,2,Hexagonal,,
186,76745,P 63 m c,Cr H,Cr,Cr,1,6,4,H,H,1,1,1,Hexagonal,,
186,76830,P 63 m c,Fe7 C3,Fe7,Fe,7,8,4,C3,C,3,14,2,Hexagonal,,
186,41486,P 63 m c,B N,B,B,1,13,2,N,N,1,15,2,Hexagonal,,
186,42680,P 63 m c,Pd4.67 Sb1.67,Pd4.67,Pd,4.67,10,5,Sb1.67,Sb,1.67,15,5,Hexagonal,,
186,52289,P 63 m c,Cr7 C3,Cr7,Cr,7,6,4,C3,C,3,14,2,Hexagonal,,
186,52363,P 63 m c,Mg Te,Mg,Mg,1,2,3,Te,Te,1,16,5,Hexagonal,,
186,52421,P 63 m c,Sm Se,Sm,Sm,1,3,6,Se,Se,1,16,4,Hexagonal,,
186,52438,P 63 m c,Tb Se,Tb,Tb,1,3,6,Se,Se,1,16,4,Hexagonal,,
186,52453,P 63 m c,Yb Se,Yb,Yb,1,3,6,Se,Se,1,16,4,Hexagonal,,
186,53381,P 63 m c,Dy Se,Dy,Dy,1,3,6,Se,Se,1,16,4,Hexagonal,,
186,58597,P 63 m c,Au3 Sr7,Au3,Au,3,11,6,Sr7,Sr,7,2,5,Hexagonal,,
186,58622,P 63 m c,Au3 Yb7,Au3,Au,3,11,6,Yb7,Yb,7,3,6,Hexagonal,,
186,58922,P 63 m c,Ca5 Pb3,Ca5,Ca,5,2,4,Pb3,Pb,3,14,6,Hexagonal,,
186,102101,P 63 m c,Ce24 Co11,Ce24,Ce,24,3,6,Co11,Co,11,9,4,Hexagonal,,
186,102234,P 63 m c,Ce7 Ni3,Ce7,Ce,7,3,6,Ni3,Ni,3,10,4,Hexagonal,,
186,44343,P 63 m c,Ru7 B3,Ru7,Ru,7,8,5,B3,B,3,13,2,Hexagonal,,
186,102700,P 63 m c,Co3 Th7,Co3,Co,3,9,4,Th7,Th,7,3,7,Hexagonal,,
186,103301,P 63 m c,Er7 Rh3,Er7,Er,7,3,6,Rh3,Rh,3,9,5,Hexagonal,,
186,104112,P 63 m c,Gd7 Pd3,Gd7,Gd,7,3,6,Pd3,Pd,3,10,5,Hexagonal,,
186,104155,P 63 m c,Gd13 Zn58,Gd13,Gd,13,3,6,Zn58,Zn,58,12,4,Hexagonal,,
186,104680,P 63 m c,La7 Ni3,La7,La,7,3,6,Ni3,Ni,3,10,4,Hexagonal,,
186,104802,P 63 m c,Lu Mn5,Lu,Lu,1,3,6,Mn5,Mn,5,7,4,Hexagonal,,
186,105406,P 63 m c,Ni3 Th7,Ni3,Ni,3,10,4,Th7,Th,7,3,7,Hexagonal,,
186,106427,P 63 m c,Ce7 Ru3,Ce7,Ce,7,3,6,Ru3,Ru,3,8,5,Hexagonal,,
186,601785,P 63 m c,Nd13 Zn58,Nd13,Nd,13,3,6,Zn58,Zn,58,12,4,Hexagonal,,
186,601919,P 63 m c,Ga1.34 S2,Ga1.34,Ga,1.34,13,4,S2,S,2,16,3,Hexagonal,,
186,604283,P 63 m c,Ce7 Rh3,Ce7,Ce,7,3,6,Rh3,Rh,3,9,5,Hexagonal,,
186,605879,P 63 m c,Sr7 Ag3,Sr7,Sr,7,2,5,Ag3,Ag,3,11,5,Hexagonal,,
186,609248,P 63 m c,Al0.667 S,Al0.667,Al,0.667,13,3,S,S,1,16,3,Hexagonal,,
186,611842,P 63 m c,Eu7 Au3,Eu7,Eu,7,3,6,Au3,Au,3,11,6,Hexagonal,,
186,612471,P 63 m c,Yb7 Au3,Yb7,Yb,7,3,6,Au3,Au,3,11,6,Hexagonal,,
186,615155,P 63 m c,B P,B,B,1,13,2,P,P,1,15,3,Hexagonal,,
186,615236,P 63 m c,Re7 B3,Re7,Re,7,7,6,B3,B,3,13,2,Hexagonal,,
186,615290,P 63 m c,Rh7 B3,Rh7,Rh,7,9,5,B3,B,3,13,2,Hexagonal,,
186,615554,P 63 m c,Tc7 B3,Tc7,Tc,7,7,5,B3,B,3,13,2,Hexagonal,,
186,620518,P 63 m c,Cd Te,Cd,Cd,1,12,5,Te,Te,1,16,5,Hexagonal,,
186,620651,P 63 m c,Co11 Ce24,Co11,Co,11,9,4,Ce24,Ce,24,3,6,Hexagonal,,
186,621399,P 63 m c,Ce7 Ir3,Ce7,Ce,7,3,6,Ir3,Ir,3,9,6,Hexagonal,,
186,621799,P 63 m c,Ce7 Pd3,Ce7,Ce,7,3,6,Pd3,Pd,3,10,5,Hexagonal,,
186,621873,P 63 m c,Ce7 Pt3,Ce7,Ce,7,3,6,Pt3,Pt,3,10,6,Hexagonal,,
