Table No.,ICSD No.,Space Group,Struct.formula,,å≥ëf1,å≥ëf1êî,ë∞1,é¸ä˙1,,å≥ëf2,å≥ëf2êî,ë∞2,é¸ä˙2,èªån,
19,63583,P 21 21 21,Th P7,Th,Th,1,3,7,P7,P,7,15,3,Orthorhombic,
19,1911,P 21 21 21,Tl2 S5,Tl2,Tl,2,13,6,S5,S,5,16,3,Orthorhombic,
19,14366,P 21 21 21,U O3,U,U,1,3,7,O3,O,3,16,2,Orthorhombic,
19,26627,P 21 21 21,Xe O3,Xe,Xe,1,18,5,O3,O,3,16,2,Orthorhombic,
20,2442,C 2 2 21,Fe P4,Fe,Fe,1,8,4,P4,P,4,15,3,Orthorhombic,
20,31683,C 2 2 21,H2 O,H2,H,2,1,1,O,O,1,16,2,Orthorhombic,
20,88125,C 2 2 21,Ho14 Ge23,Ho14,Ho,14,3,6,Ge23,Ge,23,14,4,Orthorhombic,
20,106857,C 2 2 21,In Na2,In,In,1,13,5,Na2,Na,2,1,3,Orthorhombic,
20,60196,C 2 2 21,Mn2 N0.86,Mn2,Mn,2,7,4,N0.86,N,0.86,15,2,Orthorhombic,
20,105171,C 2 2 21,Na2 Tl,Na2,Na,2,1,3,Tl,Tl,1,13,6,Orthorhombic,
20,73093,C 2 2 21,Nb Se2,Nb,Nb,1,5,5,Se2,Se,2,16,4,Orthorhombic,
20,88224,C 2 2 21,Nd4 Ge7,Nd4,Nd,4,3,6,Ge7,Ge,7,14,4,Orthorhombic,
20,261025,C 2 2 21,Pr4 Ge7,Pr4,Pr,4,3,6,Ge7,Ge,7,14,4,Orthorhombic,
20,15321,C 2 2 21,Si O2,Si,Si,1,14,3,O2,O,2,16,2,Orthorhombic,
20,237695,C 2 2 21,Sm4 Ge7,Sm4,Sm,4,3,6,Ge7,Ge,7,14,4,Orthorhombic,
20,68597,C 2 2 21,Tb Si1.75,Tb,Tb,1,3,6,Si1.75,Si,1.75,14,3,Orthorhombic,
20,77832,C 2 2 21,V S2,V,V,1,5,4,S2,S,2,16,3,Orthorhombic,
21,188474,C 2 2 2,Cr2 B,Cr2,Cr,2,6,4,B,B,1,13,2,Orthorhombic,
21,630230,C 2 2 2,Dy Sb2,Dy,Dy,1,3,6,Sb2,Sb,2,15,5,Orthorhombic,
21,631094,C 2 2 2,Er Sb2,Er,Er,1,3,6,Sb2,Sb,2,15,5,Orthorhombic,
21,636367,C 2 2 2,Gd Sb2,Gd,Gd,1,3,6,Sb2,Sb,2,15,5,Orthorhombic,
21,26220,C 2 2 2,Ho Sb2,Ho,Ho,1,3,6,Sb2,Sb,2,15,5,Orthorhombic,
21,642589,C 2 2 2,Lu Sb2,Lu,Lu,1,3,6,Sb2,Sb,2,15,5,Orthorhombic,
21,280624,C 2 2 2,Si32 O64,Si32,Si,32,14,3,O64,O,64,16,2,Orthorhombic,
21,201558,C 2 2 2,Ta D0.48,Ta,Ta,1,5,6,D0.48,D,0.48,1,1,Orthorhombic,
21,5457,C 2 2 2,Ta H0.84,Ta,Ta,1,5,6,H0.84,H,0.84,1,1,Orthorhombic,
21,28022,A 2 2 2,Ta2 D,Ta2,Ta,2,5,6,D,D,1,1,1,Orthorhombic,
21,41774,C 2 2 2,Ta2 H,Ta2,Ta,2,5,6,H,H,1,1,1,Orthorhombic,
21,651605,C 2 2 2,Tb Sb2,Tb,Tb,1,3,6,Sb2,Sb,2,15,5,Orthorhombic,
21,651689,C 2 2 2,Tm Sb2,Tm,Tm,1,3,6,Sb2,Sb,2,15,5,Orthorhombic,
21,16756,C 2 2 2,U3 O8,U3,U,3,3,7,O8,O,8,16,2,Orthorhombic,
21,56192,C 2 2 2,V4 D3,V4,V,4,5,4,D3,D,3,1,1,Orthorhombic,
21,73719,C 2 2 2,W3 O8,W3,W,3,6,6,O8,O,8,16,2,Orthorhombic,
21,651733,C 2 2 2,Y Sb2,Y,Y,1,3,5,Sb2,Sb,2,15,5,Orthorhombic,
22,54126,F 2 2 2,Cu O2,Cu,Cu,1,11,4,O2,O,2,16,2,Orthorhombic,
22,34419,F 2 2 2,V O2,V,V,1,5,4,O2,O,2,16,2,Orthorhombic,
81,90957,P -4,Ge Se2,Ge,Ge,1,14,4,Se2,Se,2,16,4,Tetragonal,
82,23560,I -4,Cr3 P,Cr3,Cr,3,6,4,P,P,1,15,3,Tetragonal,
82,613889,I -4,Fe3 B,Fe3,Fe,3,8,4,B,B,1,13,2,Tetragonal,
82,43365,I -4,Fe3 P,Fe3,Fe,3,8,4,P,P,1,15,3,Tetragonal,
82,203233,I -4,C78 Cl32,C78,C,78,14,2,Cl32,Cl,32,17,3,Tetragonal,
82,90956,I -4,Ge Se2,Ge,Ge,1,14,4,Se2,Se,2,16,4,Tetragonal,
82,53039,I -4,Hf3 Sb,Hf3,Hf,3,4,6,Sb,Sb,1,15,5,Tetragonal,
82,43393,I -4,Mn3 P,Mn3,Mn,3,7,4,P,P,1,15,3,Tetragonal,
82,644085,I -4,Mo3 P,Mo3,Mo,3,6,5,P,P,1,15,3,Tetragonal,
82,626510,I -4,Nb3 P,Nb3,Nb,3,5,5,P,P,1,15,3,Tetragonal,
82,645416,I -4,Nb3 Si,Nb3,Nb,3,5,5,Si,Si,1,14,3,Tetragonal,
82,43396,I -4,Ni3 P,Ni3,Ni,3,10,4,P,P,1,15,3,Tetragonal,
82,611183,I -4,Pd3 As,Pd3,Pd,3,10,5,As,As,1,15,4,Tetragonal,
82,649505,I -4,Pt3 Pu,Pt3,Pt,3,10,6,Pu,Pu,1,3,7,Tetragonal,
82,427459,I -4,Rb4 O6,Rb4,Rb,4,1,5,O6,O,6,16,2,Tetragonal,
82,83332,I -4,Si O2,Si,Si,1,14,3,O2,O,2,16,2,Tetragonal,
82,56027,I -4,Ta3 Ge,Ta3,Ta,3,5,6,Ge,Ge,1,14,4,Tetragonal,
82,35116,I -4,Tc3 P,Tc3,Tc,3,7,5,P,P,1,15,3,Tetragonal,
82,638055,I -4,Ti3 Ge,Ti3,Ti,3,4,4,Ge,Ge,1,14,4,Tetragonal,
82,42674,I -4,Tl5 Te3,Tl5,Tl,5,13,6,Te3,Te,3,16,5,Tetragonal,
82,648282,I -4,W3 P,W3,W,3,6,6,P,P,1,15,3,Tetragonal,
82,43326,I -4,Zr D,Zr,Zr,1,4,5,D,D,1,1,1,Tetragonal,
82,650551,I -4,Zr3 Rh,Zr3,Zr,3,4,5,Rh,Rh,1,9,5,Tetragonal,
